gene	GSM2611337
C14orf180	5.29
ALG12	9.01
PTCH2	5.64
WDR7	10.60
WDPCP	6.97
HYDIN	1.58
SUGCT	5.39
RGS8	3.46
AKAP1	10.86
GSTM4	6.83
DOK4	8.51
PNPLA3	5.88
TNFSF12-TNFSF13	7.75
KCNA5	4.39
TXNRD2	7.73
CCDC170	4.58
LYSMD3	12.04
MBNL1	14.35
RAB32	7.58
TRIM66	3.91
RARG	11.81
MARCH6	12.17
RPS16	13.93
KRT78	6.64
ADAM33	5.39
CLIP1	13.08
MIEF2	7.64
CCDC78	5.00
DEGS1	12.05
AREG	7.81
C9orf64	10.55
OSBPL6	11.14
NDUFB5	10.39
TMEM87B	11.54
PDCD11	11.86
LIMK2	12.57
GLS2	6.02
TSPAN13	12.00
NFASC	5.81
NPHP1	7.98
SPOCK3	4.75
SERPINH1	12.70
MCMBP	12.15
CAPN8	1.58
RHOBTB3	8.92
EIF2D	10.29
ATP5MC3	11.65
TNMD	3.00
102723899	0.00
MARCH5	11.06
SLC35B3	8.97
MAGEH1	6.00
BMP8A	4.17
CIB1	9.19
CCDC87	2.00
GPR17	4.91
CNKSR1	11.84
RNF19B	13.49
CCL25	7.61
CENPL	8.28
TUBB1	1.58
OR7D4	0.00
RNF207	6.23
PPP1R3G	2.00
OGFRL1	9.68
DTWD2	7.74
PLXNA3	9.46
PSME1	11.66
YTHDC1	13.24
AKAP5	6.79
P2RY6	6.34
TMEM80	8.11
PRMT9	9.47
TMOD1	5.00
ERP29	11.41
ATPAF2	9.25
RNASEK	11.13
ALS2	10.58
SLC2A3	9.70
IFT172	10.04
ZIC4	1.00
EFHC2	3.58
COL9A2	5.98
ANKRD53	2.32
API5	12.50
RRN3	12.11
CLN8	10.51
EHD1	12.37
NIN	11.74
BSG	14.79
BNIP2	11.38
NT5E	10.15
MAPK13	10.71
NUPL2	7.77
COQ2	9.07
CHMP3	11.34
HSPA9	14.46
PSENEN	10.02
NOL6	11.20
EHF	14.20
SMPDL3B	7.20
ZBTB38	11.12
CYP2E1	5.00
GPSM1	10.76
RPL35	13.59
GPR21	5.04
PSMB7	11.71
SETX	11.82
MUS81	9.07
DOCK5	12.66
EVA1A	10.77
PHYHIP	5.55
TSR3	9.20
CELSR1	9.32
MTMR12	11.40
IZUMO3	0.00
FGL2	13.96
SLC39A7	12.63
CRIP1	11.12
PDZD8	12.53
PCNP	11.97
LHFPL2	8.70
TMC5	5.21
ALG2	9.03
FAXC	6.79
CCDC81	2.58
NDUFA7	11.12
ZNF416	7.96
TBX20	5.04
GTF2F1	12.03
GPR34	7.02
PRM3	0.00
SOX9	13.03
TESC	6.60
ATP2B3	5.13
BBS2	9.29
CEP57	10.14
RBMS2	10.22
EAF1	11.89
BOLL	4.64
TRIM42	0.00
GPR31	5.75
BEX4	8.47
HTR7	4.95
STARD4	9.33
PRDM6	2.00
APAF1	9.68
IL2RA	8.79
GPR180	9.12
TEX43	1.00
SENP5	10.41
STAM2	11.40
BTK	5.04
EFL1	10.01
CFDP1	11.65
SLC39A12	0.00
DSTYK	10.68
DEGS2	10.57
OR6S1	4.64
SERPINB1	10.83
CDH6	5.83
COQ10B	12.89
SYCE3	0.00
STRC	5.00
SSTR1	2.00
PLCH1	7.28
WNK4	9.08
ITPRIPL1	10.40
HMGCR	11.68
CYP51A1	12.06
JAGN1	8.66
GRM5	5.04
EMX1	2.32
SOX15	5.81
RBM10	11.44
FGR	5.55
UBE2D4	4.39
ECHDC1	9.74
AP5B1	9.89
VSIG4	1.58
DNAJC7	11.67
MMP7	12.67
CYFIP1	12.20
MTR	9.34
