ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541677	GSE94583	organoids	GSM2478803	None	Liver cancer organoids_cultured_LCS1 SJMMHB016127	Liver cancer organoids_cultured_LCS1	Mouse	Liver cancer organoids_cultured_LCS1 SJMMHB016127	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541678	GSE94583	Tissue	GSM2478804	None	PPTR primary tumor_dissected SJMMHB016128	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016128	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541679	GSE94583	Tissue	GSM2478805	None	PPTR primary tumor_dissected SJMMHB016129	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016129	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541680	GSE94583	Tissue	GSM2478806	None	PPTR primary tumor_dissected SJMMHB016130	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016130	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541681	GSE94583	Tissue	GSM2478807	None	normal liver_dissected SJMMHB016131	normal liver_dissected	Mouse	normal liver_dissected SJMMHB016131	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541682	GSE94583	Tissue	GSM2478808	None	PPTR tumor intestine metastasis_dissected SJMMHB016132	PPTR tumor intestine metastasis_dissected	Mouse	PPTR tumor intestine metastasis_dissected SJMMHB016132	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541683	GSE94583	Tissue	GSM2478809	None	PPTR primary tumor_dissected SJMMHB016133	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016133	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541684	GSE94583	Tissue	GSM2478810	None	PPTR tumor lung metastasis_dissected SJMMHB016134	PPTR tumor lung metastasis_dissected	Mouse	PPTR tumor lung metastasis_dissected SJMMHB016134	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541685	GSE94583	Tissue	GSM2478811	None	normal liver_dissected SJMMHB016135	normal liver_dissected	Mouse	normal liver_dissected SJMMHB016135	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541686	GSE94583	Tissue	GSM2478812	None	PPTR primary tumor_dissected SJMMHB016136	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016136	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541687	GSE94583	Tissue	GSM2478813	None	PPTR primary tumor_dissected SJMMHB016137	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016137	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541688	GSE94583	Tissue	GSM2478814	None	PPTR primary tumor_dissected SJMMHB016138	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016138	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541689	GSE94583	Tissue	GSM2478815	None	normal liver_dissected SJMMHB016139	normal liver_dissected	Mouse	normal liver_dissected SJMMHB016139	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541690	GSE94583	Tissue	GSM2478816	None	normal liver_dissected SJMMHB016142	normal liver_dissected	Mouse	normal liver_dissected SJMMHB016142	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541691	GSE94583	Tissue	GSM2478817	None	PPTR primary tumor_dissected SJMMHB016145	PPTR primary tumor_dissected	Mouse	PPTR primary tumor_dissected SJMMHB016145	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541692	GSE94583	Tissue	GSM2478818	None	LCS-driven primary tumor_dissected SJMMHB016146	LCS-driven primary tumor_dissected	Mouse	LCS-driven primary tumor_dissected SJMMHB016146	Liver_Hepatocellular_Carcinoma
