ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690853	GSE97225	UPMM3_BAP1 deficient	GSM2559919	None	UPMM3_Parental_1	UPMM3 cell line contains a frameshift mutation in BAP1	Human	UPMM3_Parental_1	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690855	GSE97225	UPMM3_BAP1 deficient	GSM2559920	None	UPMM3_Parental_2	UPMM3 cell line contains a frameshift mutation in BAP1	Human	UPMM3_Parental_2	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690856	GSE97225	UPMM3_BAP1 deficient_with GFP expression	GSM2559921	None	UPMM3_GFP_1	None	Human	UPMM3_GFP_1	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690857	GSE97225	UPMM3_BAP1 deficient_with GFP expression	GSM2559922	None	UPMM3_GFP_2	None	Human	UPMM3_GFP_2	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690858	GSE97225	UPMM3_BAP1 deficient_with ectopic expression of wild type BAP1	GSM2559923	None	UPMM3_BAP1_WT_1	None	Human	UPMM3_BAP1_WT_1	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690859	GSE97225	UPMM3_BAP1 deficient_with ectopic expression of wild type BAP1	GSM2559924	None	UPMM3_BAP1_WT_2	None	Human	UPMM3_BAP1_WT_2	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690860	GSE97225	UPMM3_BAP1 deficient_with ectopic expression of mutant BAP1 [T273G]	GSM2559925	None	UPMM3_BAP1_273_1	None	Human	UPMM3_BAP1_273_1	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690861	GSE97225	UPMM3_BAP1 deficient_with ectopic expression of mutant BAP1 [T273G]	GSM2559926	None	UPMM3_BAP1_273_2	None	Human	UPMM3_BAP1_273_2	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690862	GSE97225	UPMM3_BAP1 deficient_with ectopic expression of mutant BAP1 [G283C]	GSM2559927	None	UPMM3_BAP1_283_1	None	Human	UPMM3_BAP1_283_1	Skin_Cutaneous_Melanoma
GSE97225	29490280	GNA11 Q209L Mouse Model Reveals RasGRP3 as an Essential Signaling Node in UvealMelanoma.	None	SRX2690863	GSE97225	UPMM3_BAP1 deficient_with ectopic expression of mutant BAP1 [G283C]	GSM2559928	None	UPMM3_BAP1_283_2	None	Human	UPMM3_BAP1_283_2	Skin_Cutaneous_Melanoma
