gene	GSM2687426	GSM2687427	GSM2687428	GSM2687429	GSM2687430	GSM2687431
1	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
2	-1.08	-1.08	-1.51	-1.02	-1.46	-1.49
9	-0.14	-0.2	-0.15	-0.23	-0.22	-0.25
10	-1.18	-1.52	-0.76	-1.59	-1.46	-1.49
12	-0.65	-0.56	-0.89	-0.94	-1.46	-0.73
13	-1.63	-0.89	-1.51	-1.12	-1.46	-1.49
14	1.19	1.13	1.23	1.02	1.18	1.53
15	-1.63	-1.52	-1.51	-0.88	-0.84	-0.77
16	1.95	1.9	1.71	2.18	1.88	1.94
18	-0.31	-0.29	-0.25	-0.54	-0.53	-0.85
19	0.36	0.21	1.19	-0.32	-0.31	0.52
20	0.47	0.36	0.62	0.75	0.9	0.59
21	0.82	0.77	0.75	0.56	1.08	1.08
22	0.79	0.72	0.78	0.64	0.83	0.65
23	1.48	1.47	1.35	1.72	1.68	1.75
24	-0.43	-0.41	-0.42	-0.49	-0.36	-0.26
25	1.41	1.4	1.37	1.47	1.09	1.16
26	-0.5	-0.27	-0.76	-0.88	-1.46	-1.49
27	0.97	0.94	0.9	1.23	1.11	1.07
28	-1.63	-1.52	-1.51	-0.88	-0.69	-1.49
29	0.54	0.57	0.54	0.66	0.24	0.33
30	0.68	0.67	0.9	0.2	0.59	0.87
31	1.52	1.37	1.56	1.5	1.3	0.99
32	-0.48	-0.57	-0.43	-0.44	-0.45	-0.58
33	1.84	1.82	2.01	1.24	1.77	2
34	0.57	0.5	0.82	0.3	0.39	0.49
35	0.61	0.59	0.64	0.37	0.5	0.67
36	0.64	0.59	0.93	0.5	0.69	0.74
37	0.78	0.84	0.93	0.57	0.59	0.86
38	0.58	0.63	0.45	0.87	1.12	0.96
39	1.43	1.35	1.08	0.94	1.06	1.14
40	-0.74	-1	-0.78	-1.59	-1.46	-1.49
41	-0.42	-0.4	-0.43	-0.37	-0.3	-0.23
43	-1.63	-1.52	-0.98	-1.59	-0.84	-0.85
47	2.03	1.94	1.98	2.04	2.06	1.81
48	1.26	1.26	1.23	0.97	0.7	0.69
49	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
50	1.79	1.73	1.76	1.83	2.06	1.9
51	0.85	0.87	1.01	0.84	1.3	1.4
52	1.39	1.38	1.1	1.48	1.45	1.49
53	0.38	0.37	0.77	0.35	0.58	0.62
55	0.7	0.66	0.8	0.93	-0.31	0.08
56	-0.86	-0.96	-1.51	-0.94	-0.63	-0.85
58	-0.01	0.23	0.02	-0.12	-0.69	-0.5
59	3.04	3.3	2.82	2.82	-0.33	-0.3
60	3.67	3.7	3.51	3.79	3.52	3.37
70	-0.56	-0.44	-0.86	-1.02	-1.46	-1.49
71	3.59	3.56	3.7	3.37	2.98	3.11
72	1.76	1.87	1.42	1.34	-0.66	-0.61
81	2.76	2.84	2.84	2.44	2.51	2.47
86	0.96	0.92	0.76	0.83	0.7	0.7
87	3	3.18	3.05	2.43	2.28	2.38
88	-0.96	-0.87	-0.98	-0.68	-0.71	-0.73
90	1.03	1.13	1.12	0.8	0.35	0.29
91	0.45	0.44	0.43	0.03	0.04	0.15
92	0.39	0.42	0.52	0.35	0.41	0.53
93	-0.44	-0.5	-0.5	-0.58	-0.38	-0.33
94	-0.15	-0.14	-0.02	-0.48	-0.43	-0.48
95	-0.11	-0.08	-0.19	0.06	0.13	0.18
97	-0.39	-0.4	-0.28	-0.31	-0.23	-0.17
98	-0.41	-0.37	-0.37	-0.42	-0.45	-0.48
100	-0.23	-0.2	-0.33	-0.04	-0.21	0.45
101	0.91	1.07	0.29	0.96	0.14	-0.23
102	1.87	1.87	2.01	1.54	1.37	1.41
103	1.18	1.2	1.27	0.71	1.18	0.21
104	0.23	0.14	0.22	0.46	-0.1	-0.13
105	-0.43	-0.46	-0.58	0.17	-0.18	-0.08
107	-0.42	-0.41	-0.54	-0.06	-0.59	-1.49
108	-0.76	-0.64	-0.67	-1.59	-0.84	-0.6
109	-0.02	-0.17	-0.04	0.83	0.57	0.46
111	-0.56	-0.47	-0.6	-0.73	-0.75	-0.45
112	0.75	0.78	0.76	0.71	0.61	0.61
113	0.51	0.54	0.35	0.13	-0.33	0.09
114	-0.92	-1.08	-1.51	-0.84	-0.98	-0.66
115	-0.11	-0.15	-0.1	-0.35	-0.35	-0.38
116	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
117	-0.51	-0.5	-0.67	-0.84	-0.98	-0.85
118	1.52	1.5	1.64	1.28	1.59	1.65
119	-0.44	-0.46	-0.36	-0.63	-1.46	-1.01
120	1.4	1.38	2.13	0.68	0.36	0
123	2.29	2.38	2.15	1.37	2.24	2.59
126	-1.08	-0.78	-0.98	-1.12	-1.46	-1.49
127	-1.63	-1.52	-1.51	-1.12	-1.46	-1.49
128	0.93	0.92	1.04	0.99	1.02	0.9
131	-0.76	-1.04	-1.02	-0.03	-0.66	-0.57
132	0.79	0.76	0.63	1.29	1.76	1.52
133	-0.24	-0.12	-0.08	-0.14	-0.35	0.25
134	-0.56	-0.64	-0.54	-1.12	-0.59	-0.46
135	-0.61	-0.6	-0.74	-0.7	-1.46	-1.49
136	-0.49	-0.47	-0.65	-0.17	-0.58	-1.49
140	-0.72	-1.52	-0.78	-0.77	-0.79	-0.56
141	0.37	0.34	0.41	0.61	0.44	0.59
142	0.95	1	0.98	1.31	1.09	1.17
143	0.76	0.74	0.95	0.25	0.56	0.42
146	-0.58	-0.67	-0.64	-0.54	-0.64	-0.7
147	-0.53	-0.47	-0.74	-0.6	-0.27	-0.68
148	-0.76	-0.82	-1.51	-1.59	-0.98	-1.49
150	-0.41	-0.36	-0.42	-0.08	-0.84	-1.49
151	-0.81	-0.78	-1.51	-0.88	-0.53	-0.37
152	-0.92	-1.52	-0.64	-1.59	-1.46	-1.49
153	-0.33	-0.39	-0.2	-0.3	-0.98	-1.49
154	-0.34	-0.23	-0.54	-0.32	-0.3	-0.17
155	-1.08	-1.52	-1.07	-0.64	-0.98	-0.8
158	0.95	0.95	0.7	1.13	1.31	1.02
159	1.63	1.6	1.51	1.65	2.04	1.72
160	1.18	1.18	1.11	1.25	1.32	1.48
161	1.34	1.39	1.16	1.56	1.14	1.11
162	0.78	0.82	0.85	0.97	0.98	1.22
164	1.47	1.49	1.59	1.46	1.44	1.75
165	1.24	1.29	1.36	1.02	0.31	0.93
166	1.73	1.71	1.9	1.55	1.74	1.86
167	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
173	-1.01	-1.52	-1.51	-1.59	-1.46	-0.92
174	-1.18	-1.52	-1.07	-0.88	-0.49	-0.8
175	0.11	0.11	0.52	0.07	0.92	0.95
177	-0.69	-0.73	-0.67	-0.51	-0.55	-0.3
178	0.58	0.53	0.63	0.83	0.7	0.58
181	-0.83	-0.71	-1.51	-0.69	-0.75	-0.38
182	2.09	2.12	1.84	1.47	-0.04	-0.14
183	-1.08	-0.87	-0.84	-1.59	-1.46	-0.6
185	-0.49	-0.38	-0.98	-1.59	-1.46	-1.49
186	-1.08	-0.84	-1.51	-1.59	-1.46	-1.49
187	-0.12	-0.09	-0.64	-0.94	-1.46	-1.49
