gene	GSM2794836	GSM2794837	GSM2794838	GSM2794839	GSM2794840	GSM2794841
1	0.31	0.3	0.36	0.34	0.33	0.33
2	0.13	-0.06	0.45	0.53	0.17	0.14
3	-1.12	-1.12	-0.49	-0.32	-1.14	-0.37
9	0.66	0.66	0.57	0.57	0.66	0.68
10	-0.46	-1.12	-1.14	-1.15	-1.14	-1.14
11	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
12	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
13	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
14	1.57	1.56	1.4	1.37	1.39	1.42
15	-0.27	-1.12	-1.14	-0.39	-0.49	-0.49
16	2.07	2.09	1.82	1.74	1.89	1.91
18	0.27	0.28	0.34	0.34	0.37	0.34
19	0.57	0.55	0.45	0.5	0.47	0.45
20	1.64	1.65	1.33	1.33	1.48	1.56
21	0.24	0.26	0.17	0.16	0.26	0.26
22	1.02	1.03	1.03	1.12	0.95	0.93
23	2	2.02	1.88	1.81	1.91	1.92
24	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
25	1.26	1.24	1.28	1.26	1.13	1.18
26	0.17	0.19	0.39	0.42	0.32	0.32
27	0.82	0.88	0.81	0.82	1	1.02
28	0	0.07	-0.04	-0.01	-0.01	0
29	1.66	1.64	1.86	1.84	1.68	1.74
30	0.9	0.86	1.1	1.15	1.04	1.06
31	1.88	1.9	1.74	1.67	1.64	1.68
32	0.27	0.3	0.24	0.21	0.25	0.25
33	-0.27	-0.45	-0.31	-0.32	-0.25	-0.3
34	1.59	1.54	1.47	1.56	1.71	1.65
35	0.45	0.42	0.47	0.45	0.4	0.42
36	0.69	0.67	0.68	0.72	0.83	0.84
37	2.11	2.1	2.17	2.22	2.25	2.24
38	1.73	1.78	1.47	1.48	1.59	1.58
39	1.46	1.49	1.23	1.15	1.22	1.21
40	-1.12	-0.45	-1.14	-1.15	-1.14	-0.49
41	0.45	0.42	0.36	0.35	0.27	0.29
43	-1.12	-1.12	-1.14	-0.5	-1.14	-1.14
47	2.36	2.35	2.25	2.2	2.28	2.3
48	0.6	0.64	0.61	0.62	0.61	0.6
49	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
50	1.93	1.91	1.94	1.9	1.97	2.01
51	0.82	0.86	1.01	1.05	1.06	1.11
52	1.52	1.42	1.33	1.36	1.38	1.36
53	0.44	0.43	0.49	0.5	0.46	0.44
54	-0.46	-1.12	0.05	0.14	-0.07	0.03
55	0.55	0.59	1.32	1.49	0.49	0.47
56	-0.11	0.12	-0.09	-0.14	-0.08	0.06
58	0	-0.14	-0.11	-0.1	-0.12	-0.12
59	0.28	0.26	0.31	0.32	0.35	0.36
60	3.78	3.7	3.86	3.81	3.69	3.73
62	0.07	0.12	0.12	0.12	0.07	0.06
66	-0.22	-1.12	-0.38	-0.39	-0.37	-0.25
67	-0.14	-0.04	-0.26	-0.12	-0.01	-0.06
68	0.06	-0.09	0.03	0.02	0	-0.06
69	-0.03	0.03	0.01	-0.01	-0.08	-0.02
70	-0.22	-0.34	-0.26	-0.39	-0.21	-0.2
71	3.49	3.38	3.48	3.46	3.5	3.54
72	-0.17	-0.06	-0.13	-0.39	-0.21	-0.15
73	-0.07	-0.09	-0.18	-0.05	-0.05	-0.05
74	-0.14	-0.18	-0.18	-0.19	-0.3	-0.12
75	0.05	0.01	0.03	0.05	0.08	0.06
81	2.42	2.39	2.49	2.46	2.59	2.64
82	0.16	0.16	0.14	0.11	0.11	0.14
83	0.16	0.13	0.06	0.07	0.11	0.08
86	1.53	1.55	1.28	1.2	1.34	1.31
87	2.06	2.07	1.99	1.98	1.86	1.89
88	-0.07	-0.09	-0.11	-0.22	-0.08	-0.08
89	-1.12	-0.27	-0.38	-1.15	-0.37	-0.37
90	0.21	0.27	0.33	0.34	0.34	0.32
91	0.66	0.67	0.8	0.79	0.8	0.81
92	0.18	0.18	0.21	0.21	0.23	0.22
93	0.47	0.56	0.44	0.44	0.46	0.48
94	0.37	0.35	0.53	0.52	0.44	0.42
95	1.04	0.92	0.85	0.83	0.95	0.96
97	0.41	0.44	0.32	0.32	0.44	0.42
98	0.29	0.31	0.31	0.33	0.32	0.35
100	0.77	0.71	0.94	0.96	0.75	0.76
101	0.29	0.3	0.53	0.52	0.41	0.39
102	1.7	1.74	1.93	2	1.88	1.88
103	2.22	2.29	2.22	2.23	2.35	2.35
104	0.96	0.94	0.87	0.94	0.98	0.98
105	-0.34	-0.14	-0.15	-0.26	-0.3	-0.15
107	-0.22	-0.34	-0.26	-0.16	-0.1	-0.15
108	0.02	0.01	0	0.04	0.09	0.08
109	1.08	1.07	0.95	0.89	0.72	0.76
111	-0.27	-0.14	-0.26	-0.16	-0.12	-0.05
112	0.05	0.09	0.33	0.36	0.06	0.08
113	1.08	1.02	1.81	1.84	1.52	1.51
114	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
115	1.45	1.43	1.41	1.44	1.24	1.27
116	-1.12	-1.12	-1.14	-1.15	-1.14	-1.14
117	-0.34	-0.45	-0.18	-0.39	-0.3	-0.17
118	1.66	1.63	1.76	1.76	1.73	1.75
119	0.11	0.12	0.01	0.05	0.05	0.02
120	1.09	1.2	1.51	1.58	1.57	1.52
123	0.7	0.7	0.76	0.76	0.86	0.85
124	-1.12	-1.12	-1.14	-1.15	-0.49	-0.2
125	-0.01	-0.06	-0.26	-0.1	-0.15	-0.06
126	-0.22	-1.12	-0.49	-0.5	-0.37	-1.14
127	-0.05	-0.18	-0.13	-0.14	-0.08	-0.12
128	1.51	1.48	1.43	1.43	1.51	1.5
130	-0.27	-1.12	-0.49	-0.39	-0.21	-0.1
131	-1.12	-1.12	-1.14	-0.5	-1.14	-1.14
132	1.72	1.67	1.87	1.91	1.8	1.77
133	-0.34	-1.12	-0.49	-0.39	-0.21	-0.2
