gene	GSM3123142	GSM3123143	GSM3123144	GSM3123145	GSM3123146
1	-1.28	-1.4	-1.53	-1.78	-1.58
2	-1.28	-0.87	-1.53	-1	0.85
9	-0.04	-0.34	-0.36	-0.11	-0.18
10	-1.28	-1.4	-1.53	-1.09	-1.58
12	-0.58	-0.68	-0.15	0.19	-0.45
13	-1.28	-1.4	-1.53	-1.35	-0.98
14	1.97	1.92	1.51	1.5	1.94
15	-1.28	-1.4	-1.53	-1	-0.98
16	1.71	1.56	1.58	1.65	1.5
18	-0.69	-0.51	-0.44	-0.46	-0.43
19	1	0.74	0.81	1.96	0.29
20	0.2	0.06	0.28	0.38	-0.09
21	0.72	0.55	0.67	1.1	0.62
22	0.35	0.56	0.89	0.69	0.73
23	1.67	1.83	1.5	1.33	1.74
24	-0.69	-1.4	-0.81	-0.5	-0.72
25	0.64	0.37	0.77	0.81	0.77
26	-1.28	-1.4	-1.04	-1.35	-0.86
27	0.45	0.18	0.38	0.37	0.24
28	-1.28	-1.4	-1.53	-1.78	-1.1
29	0.5	0.55	0.39	0.59	0.03
30	1.37	1.32	1.21	0.89	1.25
31	0.33	0.3	0.48	0.82	0.74
32	-0.58	-1.4	-0.71	-0.66	-0.59
33	1.35	1.54	1.57	1.23	1.62
34	0.87	0.69	1.04	1.16	0.66
35	1.16	1.16	0.36	1	0.67
36	-0.04	-0.03	0.27	0.21	0.25
37	1.31	1.41	0.9	1.07	0.98
38	1.25	1.47	1.18	1.41	1.54
39	1.09	1.07	0.37	0.51	0.92
40	-1.28	-0.68	-1.04	-1.78	-0.53
41	-0.44	-0.48	-0.62	-0.38	-0.24
43	-0.69	-0.87	-0.67	-0.9	-0.61
47	1.42	1.42	1.07	1.47	1.43
48	0.89	1.01	0.72	0.89	1
49	-1.28	-1.4	-1.53	-1.78	-1.58
50	1.41	1.44	1	1.29	1.57
51	0.83	0.44	0.5	0.97	0.5
52	1.3	1.35	1.51	1.05	1.9
53	0.3	0.26	0.24	0.18	0.25
55	0.41	0.14	0.79	0.64	-0.28
56	-1.28	-1.4	-1.53	-1.03	-0.91
58	-0.26	-0.46	-0.65	-0.27	-0.86
59	0.66	0.45	0.25	-0.1	0.21
60	3.91	3.66	3.27	3.41	3.26
70	-0.5	-1.4	-1.04	-1.78	-1.58
71	3.41	3.29	2.74	3.45	2.94
72	0.45	0.04	-0.39	0.66	-0.12
81	2.55	2.36	2.37	2.57	2.49
86	1.25	1.14	1.18	1.07	1.39
87	2.08	1.72	1.93	2.12	1.2
88	-0.58	-0.59	-0.92	-0.53	-0.79
90	0.3	0.09	0.6	0.44	0.43
91	0.13	0.1	0.3	0.56	0.18
92	0.07	-0.19	0.11	0.13	-0.1
93	-0.69	-0.46	-0.67	-0.61	-0.32
94	-0.26	-0.13	-0.23	-0.18	-0.1
95	0.09	0.24	0.24	0	1.18
97	-0.06	0.04	-0.31	-0.36	-0.13
98	-0.23	-0.28	-0.25	-0.39	-0.03
100	0.28	0.2	0.09	-0.1	-0.06
101	0.18	0.25	-0.12	1.06	-0.09
102	1.23	1.4	1.67	1.38	1.33
103	0.18	0.16	0.51	0.84	0.65
104	-0.04	-0.26	0.01	0.06	-0.04
105	0.47	0.15	0.63	-0.28	1.22
107	-0.69	-0.3	-0.71	-0.21	-0.82
108	-0.11	-0.27	-0.28	0.43	-0.38
109	-0.44	-0.51	-0.41	-0.21	-0.51
111	-0.58	-0.56	-0.58	-0.55	-0.79
112	0.52	0.39	0.49	0.73	0.77
113	0.49	0.1	0.99	0.81	0.72
114	-1.28	-1.4	-0.92	-1.78	-0.5
115	-0.5	-0.59	-0.74	-0.28	-0.63
116	-1.28	-1.4	-1.53	-1.78	-1.58
117	-1.28	-1.4	-0.92	-0.96	-1.1
118	1.66	1.6	1.52	1.93	1.16
119	-1.28	-1.4	-0.74	-0.62	-0.74
120	1.25	1.26	1.38	1.59	0.76
123	1.18	0.92	0.62	0.79	1.19
126	-1.28	-1.4	-0.49	-0.63	-1.58
127	-1.28	-1.4	-1.53	-1.78	-1.58
128	1.1	1.02	1.26	1.17	1.53
131	-0.26	-0.68	-0.71	-0.63	-0.91
132	0.28	0.43	0.99	0.24	0.68
133	0.69	0.59	1.44	0.13	0.45
134	-1.28	-0.63	-0.6	-1.09	-0.47
135	-0.3	-0.38	-0.47	-0.3	-0.58
136	-1.28	-0.68	-0.67	-0.69	-0.7
140	-1.28	-0.51	-0.77	-0.6	-0.76
141	1.25	1.03	0.49	0.96	0.53
142	0.96	1.21	0.92	1.03	1.27
143	0.04	0.23	0.89	0.63	0.38
146	-1.28	-1.4	-0.81	-0.75	-0.98
147	-1.28	-0.75	-1.53	-0.66	-0.86
148	-0.69	-0.87	-1.04	-1.17	-1.1
150	-0.5	-0.56	-0.58	-0.34	-0.65
151	-1.28	-0.87	-0.81	-0.87	-0.98
152	-1.28	-0.87	-1.04	-1	-1.58
153	-0.69	-0.48	-0.42	-0.57	-0.39
154	-0.69	-0.48	-0.38	-0.42	-0.54
155	-1.28	-1.4	-0.74	-0.91	-0.86
158	0.61	0.94	0.43	0.34	1
159	0.94	1.19	1.25	1.17	1.09
160	0.91	0.69	0.51	0.97	0.45
161	0.99	1.07	0.93	1.03	1.23
162	1.12	1.2	0.61	1.03	0.94
164	1.19	1.02	1.1	1.44	1.02
165	1.49	1.38	1.5	1.15	0.58
166	2.1	2.02	2.14	1.91	2.1
167	-1.28	-1.4	-1.53	-1.78	-1.58
173	-1.28	-1.4	-1.53	-1.78	-1.58
174	-1.28	-0.75	-0.92	-0.75	-1.58
175	0.16	0.05	0.04	0	0.21
177	-0.5	-0.45	-0.28	-0.35	-0.15
178	0.39	0.01	0.27	0.24	0.32
181	-1.28	-0.59	-0.77	-0.74	-0.65
182	0.83	0.62	0.99	0.45	0.63
183	-0.69	-0.87	-0.65	-0.56	0.28
185	-1.28	-1.4	-0.85	-0.89	-0.86
186	-1.28	-1.4	-1.04	-1.78	-1.58
187	-0.39	-0.53	-0.19	-0.39	-0.46
189	-1.28	-1.4	-1.53	-1.78	-1.58
190	-1.28	-1.4	-1.53	-1.78	-1.58
191	0.31	0.49	0.33	-0.27	0.05
196	1	0.66	1.26	0.8	1.11
197	-1.28	-1.4	-1.53	-1.78	-0.91
199	0.02	0.43	0.28	-0.34	0.01
203	1.49	0.77	0.79	0.41	-0.23
204	1.45	1.71	1.47	1.19	1.56
205	0.99	0.86	1.1	0.18	0.94
207	1.56	1.54	1.5	1.98	1.27
208	1.44	1.38	1.31	1.58	1.54
210	1.72	1.93	1.71	1.13	1.22
211	0.24	0.3	0	0.08	0.32
212	-0.58	-0.68	-0.81	-0.79	-0.34
213	-1.28	-1.4	-1.53	-1.78	-0.98
214	1.07	0.78	1.14	1.62	0.66
215	0.24	-0.03	-0.03	0.13	-0.16
216	-1.28	-1.4	-0.74	-0.44	-0.98
217	0.22	0.85	0.95	0.61	1.09
218	-0.5	-0.53	-0.77	-0.49	-0.91
219	-0.69	-0.75	-0.81	-0.65	-0.82
220	1.78	1.39	1.16	1.48	0.47
221	-0.39	-0.33	-0.27	-0.37	-0.37
223	0.3	0.57	0.43	0.32	0.62
224	0.11	0.35	0.53	0.65	0.45
225	-1.28	-1.4	-0.81	-0.73	-0.91
226	2.63	2.64	2.73	2.57	2.51
229	-1.28	-1.4	-1.53	-1.78	-1.58
230	0.97	0.97	0.69	0.23	1.68
231	1.1	1.33	0.63	1.09	0.7
238	-0.69	-1.4	-1.53	-1.24	-1.58
239	-0.69	-0.56	-0.71	-0.49	-0.68
240	-1.28	-0.75	-0.62	-0.56	-0.68
241	0.26	0.12	-0.12	0.14	-0.23
242	-0.69	-1.4	-1.53	-1.78	-1.58
246	0.13	0.63	-0.27	1.39	-0.24
247	-0.58	-0.87	-0.77	-0.77	-0.72
248	-1.28	-1.4	-1.53	-1.78	-1.58
249	0.18	0.02	-0.3	-0.53	0.91
250	-1.28	-1.4	-1.53	-1.35	-1.58
251	-1.28	-1.4	-1.53	-1.78	-1.58
257	-1.28	-1.4	-1.53	-1.35	-1.58
258	-1.28	-1.4	-1.53	-1.78	-1.58
259	-0.58	-0.68	-0.81	-1.03	-1.58
262	1.48	1.32	1.56	1.5	1.7
266	-1.28	-1.4	-1.53	-1.78	-1.58
267	1.72	1.52	1.72	1.92	1.45
