gene	GSM988513
1	0.16
2	-0.32
3	-1.14
9	0.3
10	-1.14
11	-1.14
12	0.01
13	0.32
14	1.6
15	-0.1
16	2.31
18	0.03
19	1.32
20	0.92
21	0.87
22	0.8
23	1.63
24	-0.27
25	1.63
26	-0.5
27	1.32
28	-0.12
29	1.87
30	0.94
31	1.92
32	0.7
33	-0.2
34	0.91
35	0.33
36	0.79
37	2.2
38	1.32
39	1.14
40	0.21
41	0.37
43	-0.2
47	2.86
48	1.53
49	-1.14
50	1.32
51	1.14
52	1.89
53	0.67
54	-1.14
55	-0.2
56	-0.32
58	0.15
59	0.36
60	3.92
62	0.08
66	0
67	0.05
68	0
69	-0.1
70	-0.17
71	4.01
72	0.23
73	-0.04
74	0.41
75	-0.2
81	3.26
82	0.21
83	-0.03
86	1.23
87	2.54
88	-0.39
89	-0.2
90	0.72
91	0.78
92	0.37
93	0.42
94	-0.27
95	0.46
97	0.4
98	0.25
100	0.72
101	0.12
102	2.13
103	2.29
104	0.33
105	-0.5
107	0.24
108	-0.2
109	1.47
111	-0.09
112	0.83
113	0.54
114	-0.39
115	0.83
116	-1.14
117	-1.14
118	1.57
119	1.49
120	0.83
123	0.95
124	-1.14
125	-0.5
126	-1.14
127	-0.39
128	1.68
130	-1.14
131	-1.14
132	1.04
133	1.07
134	-0.04
135	0.08
136	0.44
137	-1.14
140	-1.14
141	0.29
142	2.14
143	1.58
144	-0.07
145	-1.14
146	0.18
147	0.38
148	-0.27
150	-1.14
151	-0.5
152	0.18
153	0.18
154	0.09
155	-1.14
156	0.96
157	0.57
158	1.6
159	1.46
160	1.6
161	1.47
162	1.3
163	2.71
164	1.88
165	-0.32
166	1.75
167	-1.14
172	0.54
173	-1.14
174	-0.02
175	0.53
176	-0.27
177	0.12
178	0.62
181	-1.14
182	1.91
183	-1.14
185	0.08
186	-1.14
187	-1.14
189	-0.39
190	1.1
191	2.35
196	1.24
197	-1.14
199	-1.14
203	0.84
204	1.72
205	0.73
206	0.08
207	1.85
208	2.03
210	0.62
211	1.31
212	-1.14
213	-1.14
214	1.96
215	0.25
216	3.86
217	1.31
218	2.83
219	1.6
220	0.77
221	1.83
222	-0.39
223	1.33
224	2.34
225	-1.14
226	2.99
228	-0.23
229	-1.14
230	0.11
231	3.49
236	-0.14
238	-1.14
239	-0.02
240	-0.39
241	-0.1
242	0.07
243	-1.14
245	0.18
246	-1.14
247	-1.14
248	-1.14
249	-0.39
250	-0.23
257	0.04
258	-1.14
259	0.26
262	2
263	-0.5
265	-1.14
266	-1.14
267	1.62
268	0.33
269	-0.14
270	-1.14
271	0.96
272	0.41
273	-0.39
274	0.9
275	-0.17
276	-0.14
277	-0.14
278	-1.14
279	-0.32
280	0.13
281	-1.14
283	0.22
284	0.14
285	-0.01
286	0.5
287	0.28
288	0.17
290	0.89
291	0.61
292	2.61
293	2.53
301	2.87
302	3.66
303	0.2
304	0.2
305	0.06
306	1.54
307	1.87
308	2.31
309	1.18
310	1.83
311	1.98
312	0.23
313	-1.14
314	0.11
316	0.35
317	0.83
318	0.43
319	-0.2
320	-0.06
