gene	GSM1076115	GSM1076114
1	-1.56	-1.59
2	-0.65	-0.98
9	-0.38	-0.37
10	-1.56	-0.98
12	0.14	0.16
13	-1.56	-1.59
14	1.57	1.55
15	-0.94	-1.1
16	1.87	1.94
18	-0.19	-0.28
19	0.56	0.34
20	0.76	0.62
21	0.73	0.69
22	-0.18	-0.15
23	1.55	1.58
24	-0.54	-0.62
25	2.05	1.9
26	-1.56	-1.59
27	1.35	1.36
28	-1.56	-1.59
29	1.02	0.92
30	1.35	1.16
31	1.25	1.25
32	-0.35	-0.41
33	0.71	0.82
34	0.28	0.43
35	0.66	0.66
36	0.48	0.33
37	1.22	1.11
38	0.61	0.62
39	0.43	0.39
40	-1.56	-0.98
41	-0.26	-0.24
43	-0.58	-0.53
47	1.79	1.82
48	0.99	1
49	-1.56	-1.59
50	1.78	1.73
51	1.15	1.12
52	0.76	0.79
53	0.88	0.81
55	-0.39	-0.56
56	-0.94	-0.82
58	-0.23	0.11
59	3.09	3.14
60	3.55	3.49
70	-1.07	-0.86
71	3.61	3.6
72	1.51	1.46
81	2.76	2.84
86	0.77	0.78
87	2.77	2.81
88	-0.62	-0.54
90	1	0.91
91	0.6	0.21
92	-0.04	0
93	-0.46	-0.45
94	0.55	0.38
95	0.15	0.14
97	-0.27	-0.3
98	-0.38	-0.34
100	-0.06	-0.15
101	-0.03	-0.17
102	0.94	1.18
103	1.49	0.93
104	0.56	0.14
105	-0.94	-0.68
107	0.27	0.33
108	0.56	0.27
109	1.19	1.19
111	-0.19	-0.31
112	1.68	1.64
113	0.05	-0.01
114	-0.5	-0.34
115	-0.1	-0.13
116	-0.82	-0.38
117	-0.35	-0.25
118	1.8	1.82
119	-0.94	-1.1
120	0.42	0.27
123	1.38	1.38
126	-0.68	-0.67
127	-1.07	-1.59
128	0.87	0.88
131	-0.53	-0.49
132	0.53	0.66
133	1.14	0.94
134	-0.52	-0.53
135	-0.53	-0.55
136	0.65	0.22
140	-0.94	-0.82
141	1.3	1.28
142	0.75	0.86
