gene	GSM1495249	GSM1495251	GSM1495253	GSM1495250	GSM1495252
1	0.03	0.13	0.08	0.24	-0.06
2	2.48	2.22	2.55	2.09	2.36
3	-0.05	-0.08	-0.16	-0.03	-0.1
9	-0.19	-0.35	-0.26	-0.2	0.02
10	-0.32	-0.33	-0.31	-0.4	-0.35
11	-1.17	-1.21	-1.19	-1.17	-1.18
12	1.94	1.19	0.31	0	1.58
13	-0.56	-1.21	-1.19	-1.17	-1.18
14	1.42	1.38	1.54	1.44	1.55
15	-0.19	-0.17	-0.22	-0.26	-0.19
16	2.17	2.19	2.13	2.24	2.27
18	2.27	2.22	2.55	2.31	2.91
19	0.79	0.4	2.17	0.59	1.89
20	2.81	2.67	2.29	2.96	2.47
21	1.77	1.86	1.9	1.93	2.02
22	0.17	0.21	0.43	0.18	0.49
23	1.17	1.17	1.31	1.04	1.48
24	-0.16	-0.12	-0.29	-0.23	-0.2
25	1.04	0.98	2.04	1.19	2.11
26	-1.17	-1.21	-0.44	-0.55	-1.18
27	0.85	0.73	1.06	0.74	1.14
28	-0.11	-0.04	0.03	0.08	-0.15
29	2.69	2.71	2.08	2.7	1.95
30	1.15	1.11	1.22	1.16	1.01
31	1.59	1.49	1.68	1.52	1.71
32	0.69	0.56	0.25	0.65	0.09
33	-0.12	-0.14	-0.15	-0.08	-0.56
34	1.01	1.01	1.13	1	0.82
35	0.24	0.29	0.16	0.34	0
36	0.99	0.87	0.78	0.94	0.81
37	2.11	2.1	2.23	2.15	2.14
38	1.04	1	1.19	0.93	1.39
39	0.81	0.89	0.92	0.91	0.93
40	0.55	0.59	-0.19	0.55	-0.17
41	1.37	1.3	2.32	1.18	2.17
43	0.51	0.64	0.26	0.58	0.69
47	1.5	1.46	1.96	1.54	2.08
48	0.91	0.8	0.84	0.74	0.7
49	-0.29	-0.37	-0.28	-0.31	-1.18
50	2.4	2.32	2.03	2.35	2.18
51	1.21	1.13	1.58	1.14	1.5
52	1.32	1.3	0.99	1.25	1.22
53	0.87	0.93	0.78	0.78	0.87
54	0.13	-0.3	-0.22	-0.33	0.03
55	-0.18	-0.31	-0.26	-0.27	-0.17
56	-0.22	-0.21	-0.26	-0.18	-0.16
58	-0.2	-0.02	-0.4	-0.18	-0.27
59	0.75	0.83	0.15	0.35	0.57
60	3.34	3.39	3.41	3.37	3.67
62	-0.56	-0.61	-0.58	-0.55	-0.56
66	-1.17	-0.51	-0.31	-0.55	-1.18
67	-1.17	-0.61	-0.35	-1.17	-0.56
68	-1.17	-0.39	-1.19	-1.17	-0.46
69	-1.17	-0.61	-1.19	-1.17	-0.56
70	-0.1	0.05	-0.44	-0.05	-0.37
71	3.09	3.09	3.24	2.93	3.24
72	-0.05	-0.06	-0.13	-0.22	-0.27
73	-0.46	-0.42	-0.28	-0.4	-0.23
74	-1.17	-0.61	-1.19	-1.17	-0.46
75	-0.56	-0.46	-1.19	-0.55	-1.18
81	1.77	1.94	1.84	1.94	1.54
82	-0.31	-0.37	-0.21	-0.03	-0.26
83	-0.31	-0.29	-0.22	-0.18	-0.2
86	0.21	0.14	0.54	0.2	0.68
87	1.8	1.84	0.55	1.79	0.82
88	1.37	1.55	1.24	1.29	0.35
89	-0.37	-0.32	-0.35	-0.31	-0.37
90	0.75	0.73	0.4	0.5	0.71
91	1.31	1.35	0.84	1.33	0.99
92	0.59	0.53	0.55	0.6	0.46
93	0.45	0.36	0.9	0.51	0.63
94	0.44	0.24	0.08	0.24	0.33
95	0.16	0.18	0.36	0.13	0.47
97	0.2	0.24	0.14	0.25	0.1
98	0.81	0.94	0.79	0.83	0.52
100	0.03	0.13	0.09	0.01	0.23
101	0.06	-0.02	0.06	0.01	0.18
102	1.55	1.46	1.49	1.29	1.41
103	2.27	2.17	2.22	2.18	2.19
104	1.18	1.23	0.36	1.14	0.3
105	0.99	0.87	0.46	1.17	0.19
107	2.01	2.16	0.68	2.23	0.01
108	1.8	1.73	1.88	1.85	2.03
109	1.2	1.35	0.6	1.22	0.79
111	1.44	1.37	0.72	1.63	0.98
112	1.04	1.14	0.98	1.16	1.04
113	0.52	0.34	0.92	0.69	0.9
114	0.46	0.51	1.46	0.35	0.54
115	0.85	0.97	0.42	0.76	0.11
116	0.17	0.25	-0.16	0.57	-0.09
117	1.98	1.57	3.23	1.81	3.15
118	2.41	2.37	2.44	2.45	2.47
