gene	GSM1564328	GSM1564329	GSM1564327	GSM1564331	GSM1564333	GSM1564332	GSM1564330
1	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
2	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
9	-0.04	-0.02	-0.01	-0.15	-0.1	-0.13	-0.1
10	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
12	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
13	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
14	1.17	1.24	1.37	1.34	1.35	1.32	1.2
15	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-0.57
16	1.8	1.71	1.59	1.97	1.95	1.93	1.85
18	-0.4	-1.19	-0.4	-0.46	-0.66	-1.21	-0.57
19	-1.2	-0.56	-0.53	-0.09	0.12	-0.17	-1.2
20	0.73	0.51	0.82	0.64	1.29	0.73	0.74
21	0.63	0.81	0.47	0.74	1.5	0.9	0.67
22	1.06	1.13	1.29	0.99	1.09	1.02	1.12
23	2.18	2.16	2.13	2.07	1.95	2.08	2.05
24	-0.32	-0.25	-0.53	-0.35	-0.26	-0.41	-0.28
25	0.95	1.12	1.09	1.35	0.89	1.32	0.87
26	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
27	1.14	1.12	1.43	1.46	1.21	1.35	1.12
28	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
29	-0.4	-0.27	0.02	-0.13	0.65	-0.13	-0.38
30	0.63	0.66	0.9	0.62	0.81	0.7	0.59
31	1.56	1.64	1.46	1.62	1.57	1.47	1.48
32	-0.17	-0.23	-0.06	-0.22	-0.11	-0.24	-0.16
33	1.01	1.02	1	0.97	1.05	0.93	0.9
34	0.81	0.83	0.71	0.89	0.74	0.87	1.06
35	0.62	0.61	0.88	0.73	0.83	0.71	0.68
36	0.11	0.07	0.23	0.32	0.38	0.27	0.13
37	0.85	0.81	1.08	0.77	0.68	0.88	0.72
38	1.94	1.95	1.41	1.78	1.59	1.81	1.41
39	1.28	1.14	0.54	0.96	1.17	1.02	0.88
40	-1.2	-1.19	-1.18	-1.2	-1.26	-1.21	-1.2
41	-0.21	-0.19	-0.4	-0.22	-0.28	-0.2	-0.23
43	-0.46	-1.19	-1.18	-0.46	-0.48	-0.48	-1.2
