gene	GSM1631332
1	-1.62
2	-0.91
9	-0.32
10	-0.69
12	2.24
13	-1.62
14	1.54
15	-1.62
16	1.52
18	0.26
19	1.84
20	0.77
21	1.07
22	0.51
23	1.2
24	-0.57
25	1.23
26	-1.62
27	0.37
28	-1.62
29	0.23
30	1.52
31	2.76
32	1.73
33	1.99
34	2.43
35	1.54
36	1.84
37	2.32
38	2.3
39	1.9
40	-1.62
41	-0.44
43	-0.67
47	2.92
48	2.17
49	-0.91
50	2.71
51	2.22
52	0.94
53	1.09
55	-0.7
56	-1.15
58	2.62
59	1.44
60	2.71
70	1.04
71	2.65
72	-0.55
81	2.04
86	0.58
87	0.49
88	-0.5
90	0.05
91	0.33
92	0.59
93	-0.66
94	0.62
95	-0.03
97	-0.09
98	0.73
100	-0.05
101	-0.46
102	1.12
103	0.56
104	0.14
105	-0.33
107	-0.31
108	-0.42
109	0.42
111	1.42
112	1.64
113	0.83
114	-1.62
115	-0.09
116	-1.62
117	0.07
118	1.64
119	-0.84
120	1.5
123	2.26
126	0.94
127	-1.04
128	1.24
131	-0.42
132	0.92
133	-0.16
134	1.2
135	-0.47
136	-0.31
140	-0.64
141	0.73
142	1.03
143	0.3
146	-0.34
147	-0.57
148	-0.01
150	-0.73
151	-0.97
152	-0.97
153	-0.46
154	-0.22
155	1.46
158	0.73
159	0.8
160	1.04
161	1.82
162	1.46
164	1.33
165	1.63
166	1.95
167	-1.62
173	-1.62
174	-1.62
175	0.64
177	-0.79
178	1.53
181	-1.15
182	0.85
183	1.13
185	0.1
186	0.11
187	0.43
189	-1.04
190	-1.62
191	-0.35
196	-0.04
197	-1.15
199	-0.05
203	1.45
204	2.12
205	-0.66
207	1.5
208	2.13
210	1.24
211	1.96
212	0.78
213	0.34
214	0.98
215	0.57
216	1.17
217	2.28
218	-1.04
219	-0.66
220	0.73
221	0.04
223	1.06
224	0.91
225	2.35
226	2.94
229	-1.15
230	-0.73
231	1.87
238	-1.04
239	-0.57
240	0.25
241	0.85
242	-1.62
246	-0.74
247	-0.82
248	-1.62
249	-0.43
250	-1.62
251	-1.62
257	-0.91
258	-1.62
259	-0.97
262	1.13
266	-1.62
267	1.33
268	-1.15
269	-0.91
270	1.41
271	0.61
272	-0.03
273	-0.82
274	1.28
275	-0.48
279	1.72
280	-0.48
283	-0.27
284	0.29
285	-0.19
286	0.51
288	-0.02
290	1.11
291	2.25
292	2.36
301	2.32
302	2.54
306	1.67
307	1.55
308	2.3
309	2.33
310	1.39
311	0.72
312	-1.62
313	-0.33
314	-0.55
316	0.84
317	0.2
318	0.12
319	-0.79
320	-0.07
321	-0.84
322	-0.14
323	0.56
324	1.12
325	-1.62
326	-0.97
327	0.85
328	0.78
329	0.44
330	0.14
331	1.25
332	-0.01
333	-0.65
334	2.67
335	-1.15
336	-1.62
337	-1.62
338	-1.04
339	0.71
343	-1.62
344	-0.77
346	-0.48
347	1.15
348	2.97
350	-1.04
351	2.17
353	0.07
354	-0.87
355	0.15
356	-1.62
357	-0.41
358	1.66
359	-0.87
360	-0.77
361	-0.39
362	-1.04
363	-1.62
364	1.13
366	-1.04
367	0.94
368	-0.77
369	1.09
372	1.87
373	0.32
374	-1.62
375	2.05
377	1.45
378	1.94
379	0.03
381	1
382	0.98
383	-1.15
384	-0.91
387	2.2
388	1.39
389	1.48
390	0.38
391	0.65
392	1.27
393	-0.07
394	1.1
395	-0.19
396	2.08
397	1
398	-0.87
399	-0.52
400	1.61
401	-0.97
402	0.49
403	0.29
405	0.97
406	0.53
407	-1.15
408	1.09
409	0.41
410	0.81
411	1.18
417	-0.21
419	1.54
420	-0.87
421	0.01
427	1.45
429	-0.61
430	-0.79
432	-1.04
433	-0.66
434	-1.62
435	0.31
439	1.13
440	1.14
443	0.97
444	1.63
445	-0.13
