gene	GSM1642522	GSM1642523	GSM1642527	GSM1642520	GSM1642521	GSM1642526	GSM1642519	GSM1642524	GSM1642525
1	-1.53	-1.5	-1.47	-1.49	-1.51	-1.49	-1.53	-1.46	-1.5
2	-1.53	-1.5	-1.47	-1.49	-1.51	-1.49	-1.53	-1.46	-1.5
9	-0.13	-0.14	-0.12	-0.09	-0.06	-0.1	-0.12	-0.14	-0.13
10	-0.84	-1.5	-1.47	-1.49	-1.51	-1.49	-1.02	-1.46	-1.5
12	-0.12	-0.17	-0.06	-0.1	-0.03	-0.12	-0.04	-0.1	-0.03
13	-1.53	-1.5	-1.47	-1.49	-1.51	-1.49	-1.53	-1.46	-1.5
14	1.09	1.07	1.06	1.07	1.16	1.06	1.16	1.13	1.05
15	-1.53	-1.5	-0.96	-1.49	-1.51	-0.98	-1.53	-1.46	-0.81
16	2.15	2.08	2.13	2	2.07	2.05	2.03	2.18	2.11
18	-0.41	-0.41	-0.41	-0.42	-0.48	-0.46	-0.47	-0.49	-0.43
19	-0.15	-0.16	-0.11	-0.12	-0.11	-0.17	0.01	-0.17	-0.07
20	1.28	1.31	1.29	1.27	1.3	1.25	1.4	1.24	1.35
21	1.19	1.31	1.26	1.34	1.24	1.36	1.33	1.21	1.31
22	0.96	0.91	0.95	0.95	1.01	0.94	1.02	0.94	0.97
23	1.21	1.09	1.09	1.09	1.13	1.07	1.09	1.21	1.13
24	-0.13	-0.14	-0.15	-0.19	-0.14	-0.18	-0.11	-0.16	-0.14
25	1.36	1.39	1.38	1.4	1.42	1.35	1.44	1.41	1.38
26	-0.28	0.04	-0.2	0.46	0.1	0.05	0.09	-0.22	-0.23
27	1.23	1.19	1.14	1.15	1.19	1.11	1.21	1.19	1.17
28	-1.03	-1	-1.47	-1.49	-1.51	-1.49	-0.9	-1.46	-1.5
29	0.92	1	0.9	0.82	0.85	0.89	0.86	0.94	0.9
30	0.27	0.36	0.4	0.37	0.35	0.45	0.35	0.29	0.39
31	1.54	1.51	1.49	1.46	1.4	1.43	1.47	1.46	1.52
32	-0.28	-0.29	-0.26	-0.28	-0.29	-0.27	-0.28	-0.32	-0.28
33	1.18	1.12	1.25	1.06	1.13	1.25	1.11	1.2	1.25
34	0.62	0.71	0.6	0.84	0.82	0.74	0.87	0.66	0.65
35	0.79	0.83	0.89	0.75	0.8	0.91	0.75	0.84	0.89
36	0.67	0.76	0.8	0.75	0.71	0.87	0.72	0.74	0.78
37	0.83	0.86	0.9	0.89	0.92	0.92	0.9	0.9	0.92
38	0.62	0.64	0.75	0.64	0.65	0.75	0.64	0.66	0.72
39	0.86	0.95	0.89	1.18	1.03	0.96	1.04	0.94	0.82
40	-1.53	-1.5	-1.47	-1.49	-1.51	-1.49	-1.02	-1.46	-1.5
41	-0.25	-0.25	-0.26	-0.22	-0.23	-0.25	-0.25	-0.23	-0.26
43	-0.45	-0.5	-0.37	-0.56	-0.5	-0.39	-0.49	-0.52	-0.37
47	2.18	2.28	2.27	2.41	2.34	2.3	2.37	2.2	2.26
48	1.08	1.06	1.09	1.17	1.14	1.06	1.18	1.08	1.06
49	-1.53	-1.5	-1.47	-1.49	-1.51	-1.49	-1.53	-1.46	-1.5
50	1.87	1.8	1.86	1.7	1.79	1.83	1.79	1.9	1.86
51	1.07	1.18	1.17	1.31	1.29	1.24	1.32	1.07	1.15
52	1.09	1	1.04	1.02	1.06	1	1.03	1.15	1.02
53	0.43	0.5	0.48	0.52	0.47	0.53	0.48	0.43	0.47
55	-0.58	-0.58	-0.58	-0.61	-0.6	-0.61	-0.61	-0.66	-0.54
56	-0.51	-0.5	-0.56	-0.54	-0.53	-0.58	-0.54	-0.52	-0.48
58	-0.18	-0.17	-0.09	-0.3	-0.27	-0.04	-0.31	-0.15	-0.08
59	2.78	2.97	3.05	2.97	3	3.14	2.75	2.92	3.02
60	3.7	3.51	3.63	3.51	3.56	3.63	3.5	3.83	3.51
70	-0.72	-0.76	-0.73	-0.78	-0.99	-0.71	-1.02	-0.66	-0.76
71	3.55	3.56	3.71	3.63	3.7	3.71	3.55	3.64	3.56
