gene	GSM2157516	GSM2157515	GSM2157514	GSM2157513
1	-1.49	-1.34	-1.38	-1.42
2	-1.49	-1.34	-1.38	-1.42
9	-0.16	-0.08	-0.07	-0.18
10	-1.49	-1.34	-1.38	-1.42
12	-1.49	-0.47	-1.38	-1.42
13	-1.49	-1.34	-1.38	-1.42
14	1.24	1.11	1.26	1.56
15	-0.99	-0.65	-1.38	-0.9
16	2.21	2.1	2.14	2.27
18	-0.61	-1.34	-0.45	-0.51
19	-0.18	0.2	-0.13	-0.21
20	1.29	1.23	0.76	0.77
21	0.55	0.57	0.02	0.07
22	1.09	1.13	0.96	0.83
23	1.71	1.56	1.54	1.77
24	-0.77	-0.54	-0.54	-0.54
25	1.2	1.24	1.39	1.51
26	-1.49	-1.34	-1.38	-1.42
27	1.14	0.97	1.33	1.12
28	-1.49	-1.34	-1.38	-1.42
29	0.96	1.12	1.08	1.1
30	0.43	0.38	0.17	0.35
31	1.67	1.52	1.7	1.5
32	-0.47	-0.48	-0.42	-0.52
33	1.07	0.93	0.72	0.82
34	0.57	0.6	0.48	0.5
35	0.58	0.4	0.36	0.56
36	0.33	0.46	0.19	0.14
37	1.09	1.26	0.81	0.9
38	0.82	1.13	0.67	0.72
39	1.02	0.99	1.37	1.42
40	-1.49	-1.34	-1.38	-0.9
41	0.1	-0.12	-0.05	0.01
43	-0.55	-0.75	-0.82	-0.72
47	2.23	2.06	2.08	2.1
48	0.95	1.09	1.02	1
49	-1.49	-1.34	-1.38	-1.42
50	1.87	1.73	1.68	1.83
51	0.89	1.16	0.63	0.69
52	1.4	1.1	1.23	1.29
53	0.25	0.55	0.63	0.5
55	-0.44	-0.49	-0.38	-0.44
56	-0.65	-1.34	-1.38	-0.9
58	-0.36	-0.44	-0.6	-0.46
59	-0.16	0.13	2.79	2.87
60	3.82	3.68	3.86	3.84
70	-0.99	-1.34	-1.38	-0.9
71	3.43	3.48	3.6	3.73
72	-0.6	-0.41	0.01	-0.04
81	2.22	2.53	2.13	2.33
86	0.99	1.01	1.26	1.25
87	2.6	2.5	2.72	2.75
88	-0.63	-1.34	-0.66	-0.9
90	0.36	0.56	0.83	0.83
91	0.06	-0.04	0.01	-0.01
92	0.19	0.46	0.41	0.19
93	-0.38	-0.51	-0.41	-0.44
94	-0.99	-1.34	-0.85	-1.42
95	-0.05	-0.19	-0.16	-0.01
97	-0.11	-0.23	-0.27	-0.23
98	-0.5	-0.55	-0.45	-0.42
100	-0.24	-0.29	0	0.04
101	0.21	-0.38	-0.36	-0.34
102	1.83	1.88	1.67	1.53
103	0.57	0.8	0.83	0.83
104	0.61	0.75	1.24	1.27
105	0.21	-0.2	0.03	0.1
