gene	GSM2230612	GSM2230611	GSM2230613
1	-1.63	-1.53	-1.48
2	-1.63	-1.53	-1.48
9	-0.43	0.06	0.18
10	-1.16	-1.53	-1.48
12	1.32	1.4	-0.45
13	-1.63	-1.53	-1.48
14	1.44	1.29	1.54
15	-0.72	-0.61	-0.69
16	1.08	1.44	1.62
18	-0.43	-0.4	-0.69
19	0.78	-0.4	0.49
20	1.11	0.77	0.35
21	0.74	0.54	0.09
22	0.67	0.24	0.21
23	1.09	1.26	1.05
24	-0.29	-0.52	-0.36
25	1.16	1.25	1.13
26	-0.72	-0.76	-1.48
27	1.24	0.9	1.09
28	-1.63	-1.53	-1.48
29	0.53	0.46	0.57
30	0.98	1	1.04
31	1.08	0.95	0.96
32	-0.37	-0.3	-0.56
33	1.5	1.25	1.08
34	0.88	0.8	0.43
35	0.94	0.97	1.4
36	0.98	0.69	0.24
37	0.88	1.14	0.71
38	1.59	1.28	1.13
39	1.06	1.49	1.03
40	-1.63	-1.53	-1.48
41	-0.11	0.08	-0.1
43	-0.42	-0.76	-0.69
47	1.36	1.58	1.22
48	0.22	0.7	0.54
49	-1.63	-1.53	-1.48
50	1.47	1.59	1.45
51	1.06	1.34	0.82
52	1.39	1.52	1.32
53	0.79	0.92	0.38
55	-0.56	-0.59	-0.39
56	-0.57	-0.61	-0.55
58	-0.62	-1.53	-0.45
59	2.33	-0.18	1.79
60	2.92	2.78	2.68
70	-0.74	-1.53	-1.48
71	2.88	3.02	2.65
72	-0.38	-0.59	-0.5
81	2.46	2.39	1.94
86	1.08	1.21	1.12
87	1.55	1.13	1.75
88	-0.45	-0.4	-0.69
90	1.12	0.72	0.39
91	-0.15	-0.15	-0.07
92	0.58	0.21	-0.03
93	-0.47	-0.43	-0.39
94	-0.63	-0.23	-0.63
95	0.25	0.08	0.5
97	0.25	0.68	0.97
98	0.87	1.2	0.89
100	-0.25	-0.2	-0.02
101	-0.27	0.03	0.15
102	2.17	2.03	1.14
103	0.5	0.5	0.8
104	-0.04	-0.06	-0.38
105	-0.47	-0.59	-0.59
107	0.62	0.31	-0.01
108	-1.63	-1.53	-1.48
109	-0.31	-0.32	-0.1
111	-0.64	-0.3	-0.69
112	0.6	0.68	0.66
113	-0.42	-0.59	0.4
114	-1.63	-1.53	-1.48
115	-0.13	-0.14	-0.3
116	-1.16	-1.03	-0.73
117	-0.59	-0.68	-0.61
118	1.62	1.72	1.36
119	-0.13	0.1	-0.34
120	0.56	1.23	-0.14
123	0.75	1.26	1.31
126	-1.63	-1.03	-1.48
127	-1.63	-1.53	-1.48
128	1.55	1.68	1.35
131	0.91	1.56	1.54
132	1.08	1.69	0.84
133	-0.26	-0.72	-0.23
134	-0.84	-0.82	-0.97
135	-0.36	-1.03	-0.73
136	-0.43	-0.58	-0.3
140	-0.4	-0.39	-0.03
141	1.3	1.28	1.49
142	1.11	1.11	0.96
143	0.29	0.07	0.07
146	-0.03	0.17	-0.33
147	-0.09	0.13	-0.01
148	-0.69	-0.68	-0.97
150	-0.64	-0.36	-0.28
151	-0.65	-0.58	-0.5
152	-0.08	-0.29	-1.48
153	-0.74	-0.41	-1.48
154	-0.37	-0.4	-0.31
155	-0.88	-1.03	-0.78
158	0.8	1.08	1.58
159	1.54	1.36	1.37
160	1.19	1.33	1.29
161	1	1.18	1.09
162	0.76	1.06	1.05
164	0.7	0.65	0.73
165	0.42	-0.16	1.87
166	1.91	2.14	1.86
167	-1.16	-1.53	-1.48
173	-1.16	-1.03	-1.48
174	0.17	0.14	1.05
175	0.89	0.84	1.02
177	-0.44	-0.29	-0.38
178	0.87	0.76	0.58
181	-0.74	-0.63	-0.56
182	0.5	0.73	-0.12
183	-0.07	-0.18	-1.48
185	-1.16	-1.03	-1.48
186	-1.63	-1.53	-1.48
187	-0.98	-0.9	-0.97
189	-1.63	-1.53	-1.48
190	-1.63	-1.53	-1.48
191	1.46	1.81	1.92
196	-0.07	0.02	0.49
197	-0.84	-0.72	-1.48
199	-1.04	-1.53	-1.48
203	1.44	1.76	1.36
204	0.77	1	1.37
205	0.24	-0.01	0.12
207	2.06	2.26	2.1
208	1.23	1.35	1.59
210	0.12	0.2	1.14
211	0.64	0.32	0.47
212	-0.76	-0.68	-0.78
213	-1.63	-1.53	-1.48
214	0.93	0.51	0.71
215	0.03	0.27	0
216	2.59	-0.2	-0.48
217	1.41	1.38	1.06
218	-0.2	-0.4	0.7
219	-0.46	-0.52	-1.48
220	0.65	1.57	0.11
221	-0.1	0.5	-0.22
223	0.75	0.73	0.77
224	0.41	0.63	0.29
225	-0.42	-0.37	-0.42
226	2.44	2.36	2.3
229	-1.63	-1.03	-1.48
230	-0.55	-0.52	-0.37
231	1.84	1.84	1.8
238	-0.78	-0.68	-1.48
239	-0.6	-0.66	-0.73
240	-0.88	-0.52	-0.97
241	-1.63	-0.59	-0.49
242	-1.63	-1.53	-1.48
246	-1.16	-1.03	-1.48
247	-0.55	-0.4	-0.35
248	-1.04	-0.5	-0.97
249	-0.98	-1.03	-0.78
250	-0.62	-0.19	-1.48
251	-0.39	-0.2	-1.48
257	-1.63	-1.53	-1.48
258	-1.63	-1.53	-1.48
259	-1.63	-1.03	-1.48
262	1.89	1.5	1.34
266	-1.63	-1.53	-1.48
267	1.41	1.55	1.31
268	-0.68	-0.47	-0.5
269	-0.72	-0.66	-0.59
270	-0.88	-0.61	-0.61
271	0.66	0.48	0.98
272	1.21	0.9	0.52
273	-0.29	-0.16	-0.78
274	1.11	1.03	2.21
275	-0.23	-0.24	-0.27
279	-0.53	-0.52	-0.78
280	-0.81	-0.9	-0.78
283	-0.45	-0.24	-0.34
284	-1.63	-1.53	-0.49
285	0.42	-0.22	0.1
286	-0.47	-0.56	-0.17
288	-0.22	-0.42	1.13
290	-1.04	-1.53	-0.4
291	2	2.21	2.22
292	2.39	2.37	2.34
301	3.43	3.3	2.43
302	2.6	2.78	2.43
306	2.08	1.76	1.25
307	1.03	1.09	0.88
308	2.4	2.42	2.12
309	1.3	2.11	1.46
310	1.56	1.86	1.68
311	0.65	0.73	1.27
312	-1.04	-0.9	-1.48
313	-0.57	-0.72	-0.69
314	-0.23	-0.2	-0.23
316	-0.14	0.08	0.02
317	0.48	0.28	0.25
318	0.36	0.93	1.2
319	-0.78	-0.61	-0.69
320	-0.11	-0.35	-0.57
321	-0.78	-0.76	-1.48
322	0.11	0.25	0.08
323	0.47	0.61	0.42
324	1.38	1.24	0.81
325	-1.63	-1.53	-1.48
326	-0.56	-0.59	-0.78
327	0.6	0.59	0.9
328	0.68	0.92	1.41
329	0.32	0.05	-0.01
330	-0.25	-0.39	-0.18
331	1.01	0.72	0.72
332	1.61	1.85	1.94
333	-0.76	0.12	-0.45
