gene	GSM2242742	GSM2242743	GSM2242744	GSM2242745	GSM2242746	GSM2242747	GSM2242748	GSM2242749	GSM2242750
1	0.19	0.33	0.15	0.26	0.31	0.27	0.35	0.19	0.25
2	0.08	0.34	0.17	0.09	0.16	-0.04	0.16	0.39	0.3
3	0.12	0.06	-0.07	-0.2	-0.11	-0.16	-1.01	-0.29	-0.16
9	0.3	0.22	0.31	0.58	0.57	0.54	0.73	0.5	0.73
10	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-0.26	-1.2	-0.97
11	-0.51	-0.34	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
12	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
13	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
14	1.29	1.14	1.2	1.36	1.25	1.37	1.32	1.25	1.09
15	-1.14	-1.05	-0.02	-0.2	-0.43	-1.13	-1.01	-0.48	-0.97
16	1.93	2.42	2.43	2.02	2.3	2.35	2.06	2.2	2.25
18	0.46	0.35	0.41	0.56	0.69	0.67	0.56	0.38	0.41
19	0.2	0.31	0.27	0.4	0.64	0.51	0.16	0.13	0.31
20	1.53	1.59	1.5	1.27	1.49	1.37	1.23	1.68	1.33
21	1.3	1.61	1.43	1.45	1.54	1.53	1.25	1.62	1.42
22	0.85	0.99	0.94	0.93	0.87	0.83	1.06	0.96	0.8
23	0.65	0.66	0.72	0.73	0.72	0.6	0.78	0.74	0.64
24	-1.14	-1.05	-0.22	-0.36	-1.08	-0.48	-0.22	-1.2	-0.25
25	0.93	1.09	1.15	0.86	1.01	1.04	1.13	1.08	0.8
26	0.24	0.12	0.19	0.47	0.46	0.39	0.18	0.01	0.02
27	1.02	1.45	1.33	1.02	1.34	1.04	1.29	1.26	1.33
28	0.24	0.26	0.3	0.13	0.11	0.1	0.33	0.16	0.3
29	1.25	1.02	1	0.98	1.16	1.09	1.04	1.14	0.95
30	0.91	0.77	0.68	0.88	0.97	0.8	0.68	0.72	0.35
31	2.16	2.23	2.22	2.04	2.04	1.82	2.41	2.47	2.28
32	0.44	0.28	0.49	0.44	0.29	0.24	0.45	0.62	0.47
33	0.15	0	-0.05	0.2	-0.02	-0.13	0.57	0.46	0.51
34	1.28	1.15	1.3	1.4	1.34	1.12	1.77	1.52	1.74
35	0.77	0.64	0.55	0.93	1.12	0.97	0.68	0.69	0.63
36	0.91	0.76	0.85	0.94	1.19	0.92	0.88	0.99	1.12
37	2.15	1.98	1.89	2.27	2.19	2.11	1.76	2.01	1.89
38	1.56	1.38	1.47	1.35	1.48	1.25	1.61	1.46	1.53
39	1.75	0.62	0.6	1.79	1.12	0.9	1.69	1.63	1.4
40	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
41	0.25	0.19	0.28	0.24	0.26	0.18	0.24	0.27	0.05
43	-0.14	0.14	-1	0.14	0.42	0.38	-0.16	0.08	0.21
47	2.49	2.13	2.17	2.42	2.15	2.12	2.51	2.55	2.5
48	0.78	0.79	0.73	1.17	1.09	0.89	0.95	0.91	0.94
49	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
50	1.76	1.93	1.97	1.62	1.53	1.79	1.38	1.67	1.64
51	1.34	1.3	1.4	1.37	1.73	1.45	1.19	1.4	1.35
52	1.49	1.25	1.18	1.52	1.38	1.29	1.63	1.41	1.46
53	0.38	0.41	0.17	0.53	0.56	0.51	0.29	0.39	0.39
54	-0.51	-0.4	-1	-0.42	-0.43	-0.16	-0.32	-0.18	-0.97
55	0.5	0.98	1.02	0.59	0.95	0.49	0.59	0.53	0.66
56	0.02	0	-0.18	-0.06	-0.01	0.05	-0.02	0.1	0.01
58	-0.34	-0.32	-1	-0.2	-1.08	-1.13	-0.32	-1.2	-0.97
59	0.15	0.03	0.02	0.01	0.11	0.2	-0.15	0.12	0.03
60	2.83	2.8	2.82	2.85	2.71	2.78	3	3.06	2.89
62	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-0.32	-1.2	-0.97
66	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
67	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-0.41	-0.2
68	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
69	-1.14	-1.05	-1	-0.42	-1.08	-1.13	-1.01	-1.2	-0.97
70	-1.14	-0.29	-1	-1.07	-1.08	-1.13	-1.01	-0.59	-0.97
71	2.99	3.05	3.06	2.98	3.06	2.97	3.12	3.21	3.11
72	-0.25	-0.4	-0.04	-1.07	-1.08	-1.13	-1.01	-0.36	-0.16
73	-0.19	0.03	0.06	0.01	-0.05	-0.11	-0.13	-0.16	-0.14
74	-0.51	-1.05	-0.24	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
75	-0.22	-0.25	-1	-1.07	-1.08	-0.1	-1.01	-0.29	-0.97
81	2.05	2.25	2.2	2.09	2.01	2.28	1.87	2.06	1.99
82	-0.06	-0.17	-1	-0.01	-0.27	-0.08	0.05	-0.04	-0.1
83	-0.06	-0.01	-0.1	-0.1	-0.08	-0.16	0.08	0	-0.97
86	1.61	1.59	1.44	1.39	1.17	1.12	1.47	1.33	1.49
87	1.11	1.31	1.4	1.04	1.1	1.25	1.08	1.32	1.15
88	0.12	-0.06	0	-1.07	-1.08	-0.2	0.09	0.08	0.18
89	-0.34	-0.2	-1	-1.07	-0.09	-0.13	-0.06	-0.32	-0.97
90	0.03	0.28	0.15	0.06	0.13	0.14	0.31	0.15	-0.13
91	0.7	0.89	0.92	0.82	0.97	0.78	0.74	0.75	0.71
92	0.5	0.53	0.71	0.49	0.84	0.66	0.52	0.5	0.73
93	1.01	1.31	1.19	0.55	0.7	0.66	0.97	1.1	1.03
94	-0.14	0.05	-1	-1.07	-0.43	-0.24	-0.22	-0.18	-0.97
95	1.68	1	0.83	1.16	1.02	0.93	1.15	1.19	1.11
97	0.36	0.37	0.16	0.39	0.23	0.31	0.27	0.29	0.45
98	0.38	0.35	0.39	0.45	0.52	0.52	0.25	0.27	0.28
100	-0.04	0.08	0.13	0.02	0.06	0.05	-0.05	0.01	-0.97
101	0	0.02	-0.18	0.08	0.09	0.1	-1.01	0	-0.08
102	1.89	2	2.09	1.86	1.89	1.71	1.75	1.69	1.84
103	2.38	2.54	2.56	2.4	2.47	2.39	2.52	2.52	2.41
104	0.59	0.58	0.54	0.39	0.37	0.37	0.51	0.48	0.4
105	-0.04	-0.27	-0.09	-0.26	-0.31	-0.2	-1.01	-0.29	-0.97
107	0.27	0.37	0.36	0	0.08	0.01	0.21	0.09	-0.1
108	0.15	0.02	0.08	0.1	0.02	0.1	0.26	0.22	-0.16
109	0.85	0.89	1.19	0.83	0.79	0.76	0.65	0.99	0.66
111	-0.29	-0.15	-0.26	-1.07	-0.31	-0.1	-0.06	-0.1	-0.97
112	1.51	1.75	1.69	1.77	2.07	1.87	1.51	1.6	1.64
113	0.19	0.18	0.15	-0.1	0.22	0.05	0.11	0.08	0.06
114	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
115	1.08	1.37	1.35	1.37	1.73	1.93	1.09	1.14	1.43
116	-1.14	-0.1	-0.18	0.21	0.06	0.09	0.08	0.19	0.06
117	-0.51	-1.05	-1	-0.31	-1.08	-0.48	-1.01	-0.59	-0.97
118	1.5	1.55	1.5	1.74	1.94	1.85	1.39	1.63	1.67
119	-0.12	-0.34	-0.08	-0.17	-0.31	-0.24	-0.32	-0.18	-0.21
120	2	2.08	2.12	1.9	1.85	1.95	1.72	1.51	1.74
123	0.19	0.04	-0.19	0.14	-0.04	0.08	0.1	0.16	0.18
124	-0.51	-0.4	-0.05	-0.13	-0.19	-0.29	-0.15	-0.36	-0.97
125	0.3	0.07	0.04	-0.1	0.06	-0.01	0.15	-0.03	0.06
126	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
127	0.06	-0.03	0.2	-0.07	0.01	0.05	0.17	0.11	0.05
128	1.94	1.7	1.63	1.91	1.9	1.77	1.68	1.51	1.65
130	0.24	0.08	-0.05	0.01	-0.27	-0.04	-0.32	-0.16	-0.09
131	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-0.59	-0.97
132	0.78	0.69	0.58	0.78	0.52	0.6	0.94	0.86	1.03
133	-0.08	0.07	0.14	1.01	0.34	1.22	-0.11	0.13	0.67
134	-0.08	-0.4	-1	-0.1	0.01	-0.13	-1.01	-0.32	-0.97
135	-0.09	-0.13	-0.3	-0.15	0.08	-1.13	0.11	0.21	0.02
136	0.27	0.19	0.41	0.06	0.04	0.17	0.06	0.18	0.18
137	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
140	-1.14	-1.05	-1	-0.31	-1.08	-1.13	-1.01	-0.59	-0.97
141	-0.08	-0.06	-0.3	-0.31	-0.31	-0.48	-0.12	-0.23	-0.97
142	2.45	2.37	2.39	2.5	2.19	2.24	2.57	2.59	2.45
143	1.34	1.53	1.62	1.34	1.21	1.1	1.28	1.31	1.23
144	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-0.05	-1.2	-0.97
145	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
146	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
147	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
148	0.35	0.65	0.67	0.23	0.35	0.36	0.33	0.38	0.34
150	0.24	0.16	0.05	0.16	-0.01	0.17	0.23	0.28	0.05
151	-0.22	-0.04	-0.24	-0.13	-0.27	-0.48	-0.13	-0.41	-0.15
152	-0.14	-0.2	-0.08	-0.23	0.02	0.12	-0.32	-0.18	-0.04
153	-0.22	-0.22	-0.05	-0.26	0.05	-0.05	-0.15	-0.13	-0.15
154	-0.04	0.12	0.06	0.12	0.14	0.36	0.24	0.26	0.15
155	-0.19	-0.34	-0.24	-0.26	-0.19	-0.29	-1.01	-0.48	-0.97
156	1.3	1.17	1.36	1.14	1.16	1.32	1.16	1.36	1.28
157	0.56	0.55	0.67	0.59	0.73	0.7	0.68	0.67	0.78
158	1.57	1.48	1.34	1.46	1.57	1.47	1.36	1.42	1.31
159	1.15	0.98	1.24	1.14	0.9	1	1.28	1.14	1.32
160	1.39	1.32	1.29	1.39	1.37	1.49	1.2	1.45	1.2
161	1.01	0.96	1.08	0.76	0.95	0.94	0.97	0.96	0.94
162	1.47	1.28	1.54	1.55	1.43	1.5	1.45	1.6	1.32
163	1.58	1.81	1.97	1.62	1.74	1.63	2.03	2.02	1.9
164	1.91	1.86	1.94	2.05	2	1.89	2.07	2.02	2.21
165	0.21	0.14	0.08	0.18	0.21	0.24	0.02	0.05	0.09
166	1.74	1.55	1.49	1.68	1.89	1.86	1.46	1.53	1.27
167	-1.14	-1.05	-1	-1.07	-1.08	-0.48	-1.01	-1.2	-0.97
172	0.46	0.47	0.44	0.55	0.49	0.44	0.48	0.49	0.37
173	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
174	-0.41	-1.05	-0.2	-1.07	-1.08	-1.13	-0.24	-0.32	-0.97
175	0.41	0.54	0.55	0.44	0.71	0.51	0.37	0.31	0.59
176	-0.17	-1.05	-0.15	-0.26	-0.37	-0.29	0.01	-0.36	0.03
177	0.06	-1.05	0.18	0.05	-0.23	0.07	0.11	0.02	-0.18
178	1.63	1.44	1.74	1.82	1.78	1.7	1.63	1.42	1.89
181	-0.17	-0.27	-1	-0.15	-0.02	-0.48	-1.01	-0.32	-0.97
182	-0.51	-0.18	-1	-0.42	-0.23	-0.24	-0.18	-0.11	-0.14
183	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-0.06	-0.59	-0.97
185	0.44	0.26	0.21	0.59	0.5	0.37	-0.08	0.25	0.28
186	-1.14	-1.05	-1	-1.07	-1.08	-0.48	-1.01	-1.2	-0.97
187	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
189	-0.04	-0.34	-0.07	-0.06	-0.31	-0.48	-0.18	-0.15	-0.97
190	-0.51	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
191	2.28	2.05	2.1	2.34	2.18	2.32	2.06	2.15	2.05
196	0.95	1.22	1.35	1.2	1.35	1.48	1.14	1.05	1.38
197	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-0.41	-0.97
199	-1.14	-1.05	-1	-1.07	-1.08	-1.13	-1.01	-1.2	-0.97
203	0.87	0.65	0.7	0.81	0.7	0.91	0.77	0.79	1.01
204	1.99	1.85	1.8	1.99	1.88	1.83	1.89	1.87	1.83
205	1.71	1.64	1.6	1.49	0.99	1.01	1.82	1.79	1.84
206	-0.08	-1.05	0.13	-0.01	-0.04	-0.13	-1.01	-0.08	-0.97
207	1.81	1.69	1.67	1.66	1.74	1.84	1.78	1.85	1.5
208	1.66	1.53	1.25	1.58	1.48	1.71	1.63	1.64	1.57
210	0.63	0.43	0.55	0.64	0.63	0.74	0.52	0.47	0.5
211	0.95	0.85	0.83	0.99	1.01	0.86	0.83	1.01	0.96
212	-1.14	-1.05	-1	-1.07	-1.08	-0.24	-1.01	-0.48	-0.97
213	0.91	0.41	0.15	0.5	0.23	0.07	1.98	1.9	1.8
214	2.24	2.75	2.79	2.34	2.61	2.61	2.43	2.36	2.65
215	0.29	0.14	0.3	0.3	0.4	0.38	0.15	0.27	0.08
216	0.8	0.16	0.37	0.49	0.2	0.27	0.36	0.5	0.47
217	0.44	0.45	0.48	0.29	0.62	0.35	0.49	0.45	0.5
218	-0.11	-0.25	0.13	-0.42	-1.08	-1.13	-1.01	-0.26	-0.1
219	0.83	0.62	0.78	0.79	0.65	0.45	0.73	0.73	0.49
220	0.07	0.18	0.24	0.04	0.01	0.09	0.03	0.04	0
221	0.2	0.23	0.26	0.12	0.11	0.05	0.16	0.17	0.16
222	-0.02	-1.05	-1	-0.08	0.08	-0.1	-0.19	0.03	-0.97
223	1.84	1.57	1.66	2.05	1.96	1.73	1.86	1.75	1.72
224	2.85	3.1	3.1	2.29	2.1	2.54	3.25	3.12	3.17
