gene	GSM2527757	GSM2527758	GSM2527759	GSM2527760	GSM2527761	GSM2527762	GSM2527763	GSM2527764
1	0.05	-0.05	0.07	-0.05	-0.08	0.09	0.16	-0.06
2	-0.14	0.05	-0.64	-0.07	-0.06	-0.1	-1.02	-0.06
3	-1.05	-0.93	-0.25	-1.02	-0.38	-0.93	-1.02	-1.02
9	0.26	0.19	-0.48	0.23	0.2	0.31	0.12	0.2
10	-1.05	-0.93	-0.48	-0.27	-0.24	-0.05	-1.02	-0.26
11	-1.05	-0.93	-1.21	-1.02	-1.09	-0.93	-1.02	-1.02
12	-0.19	0.05	-0.31	0.12	-0.14	0.13	-0.3	0.11
13	-0.19	-0.01	-0.29	-0.13	-0.04	-0.04	-0.13	-0.07
14	1.9	1.88	1.91	1.83	1.61	1.8	1.82	1.72
15	-0.03	-0.03	0.07	-0.09	0.07	-0.18	-0.35	-0.16
16	2.1	2.29	2.05	2.32	2.09	2.21	2.04	2.25
18	0.24	0.3	0.38	0.36	0.31	0.35	0.31	0.46
19	-0.11	0.19	0.06	0.19	0.15	0.25	-0.11	0.31
20	1.67	1.97	1.6	1.9	1.73	2.01	1.74	2.01
21	0.37	0.63	0.33	0.77	0.53	0.89	0.75	1.01
22	0.56	0.68	0.53	0.67	0.62	0.66	0.5	0.63
23	2.1	2.05	2.19	1.97	2.11	2.07	2.36	1.95
24	-0.39	-0.08	0.08	0.09	0.06	-0.12	-0.05	0.05
25	1.36	1.32	1.22	1.41	1.34	1.45	1.2	1.49
26	-0.29	0.06	-0.31	0.02	0.02	-0.08	-0.17	-0.09
27	0.75	0.84	0.77	0.92	0.85	0.88	0.74	1.08
28	0.08	-0.02	0.09	-0.03	0.08	-0.93	-0.2	-0.09
29	1.4	1.56	1.43	1.55	1.39	1.59	1.43	1.65
30	0.8	1.05	1.07	0.96	0.78	1.05	1.05	0.92
31	1.78	1.84	1.61	1.85	1.93	1.91	1.75	1.98
32	0.38	0.4	0.51	0.41	0.43	0.48	0.31	0.54
33	-1.05	-0.13	-0.04	-0.27	-0.29	-0.93	-0.2	-0.33
34	1.07	1.23	0.61	1.17	1.06	0.98	0.78	0.98
35	0.45	0.61	0.55	0.51	0.43	0.56	0.67	0.57
36	0.84	1.07	0.94	1.09	0.93	1.11	0.77	1.13
37	1.74	1.92	1.72	1.74	1.69	1.9	1.91	1.78
38	1.37	1.5	1.28	1.61	1.36	1.47	1.23	1.55
39	1.14	0.9	0.93	0.79	0.92	0.85	0.89	0.66
40	-1.05	-0.93	-0.06	-1.02	-0.13	-0.93	-1.02	-1.02
41	0.7	0.94	0.88	0.96	0.76	1	1.05	1.12
43	0.18	0.1	-0.03	0.13	0.15	0.12	0.15	0.16
47	2.45	2.46	2.07	2.43	2.51	2.52	2.17	2.49
48	1.27	1.48	1.16	1.45	1.47	1.64	1.32	1.64
49	-0.15	-0.12	-0.22	0.05	-1.09	-0.93	-0.3	0
50	1.76	1.86	1.97	1.87	1.68	1.82	1.85	1.76
51	1.32	1.38	1.13	1.42	1.23	1.31	1.15	1.39
52	1.61	1.55	1.54	1.56	1.55	1.54	1.56	1.51
53	0.66	0.64	0.72	0.57	0.59	0.6	0.76	0.58
54	-0.15	-0.93	-0.29	-0.34	-1.09	-0.13	-0.13	-1.02
55	-0.39	0.12	-0.04	0.01	-0.1	0.06	0	0.14
56	-0.32	-0.93	-1.21	-0.23	0.08	-0.93	-0.13	-1.02
58	-1.05	-0.93	-0.29	-0.09	-0.38	-0.18	-0.17	-0.33
59	0.3	0.2	0.54	0.3	0.3	0.32	0.27	0.28
60	3.66	3.53	3.24	3.35	3.63	3.53	3.29	3.39
62	-0.02	-0.93	-0.64	-0.34	-0.47	-0.93	-1.02	-1.02
66	-1.05	-0.93	-1.21	-1.02	-1.09	-0.93	-1.02	-1.02
67	-1.05	-0.93	-1.21	-0.34	-0.09	-0.93	-0.04	-0.13
68	-1.05	-0.93	-1.21	-1.02	-1.09	-0.93	-0.35	-1.02
69	-1.05	-0.93	-0.6	-1.02	-1.09	-0.93	-1.02	-1.02
70	0	-0.93	0.17	-1.02	-1.09	-0.93	-1.02	-1.02
71	3.99	3.98	3.5	3.89	3.96	4.31	3.63	4.01
72	-0.29	-0.93	-0.03	-1.02	-0.14	-0.93	-1.02	-1.02
73	-0.26	-0.18	-1.21	-0.16	-0.32	-0.93	-0.27	-0.33
74	-0.35	-0.93	-0.37	-0.27	-1.09	-0.18	-0.3	-0.16
75	-1.05	-0.93	-1.21	-0.16	-0.35	-0.93	-1.02	-0.33
81	2.77	2.81	2.66	2.77	2.9	2.9	2.77	2.86
82	-0.14	-0.03	0.04	-0.23	-0.29	0	-0.27	-0.06
83	-1.05	-0.13	-1.21	-0.16	-0.17	-0.18	-1.02	-1.02
86	1.19	1.35	0.78	1.22	1.24	1.31	0.92	1.24
87	2.1	2.13	1.82	2.2	2.2	2.3	1.99	2.31
88	0.04	-0.05	-0.43	-0.04	-0.1	-0.1	-0.1	-0.06
89	-1.05	-0.93	-0.12	-1.02	-0.32	-0.93	-1.02	-1.02
90	0.64	0.7	0.45	0.63	0.6	0.7	0.49	0.68
91	0.86	0.92	0.76	0.99	0.96	1.07	0.76	1.03
92	0.43	0.52	0.34	0.57	0.43	0.62	0.52	0.58
93	0.68	1.08	0.55	1.02	0.63	0.83	0.51	1.01
94	-0.15	-0.93	-0.09	-0.08	-0.24	0.08	0.01	0.07
95	0.83	1.04	0.86	0.91	0.64	0.85	0.94	0.85
97	0.49	0.46	0.42	0.41	0.53	0.33	0.5	0.38
98	0.37	0.36	0.37	0.4	0.35	0.29	0.33	0.29
100	0.6	0.63	0.69	0.58	0.59	0.63	0.68	0.58
101	-0.05	-0.13	-0.31	-0.11	-0.08	-0.03	0.03	-0.04
102	1.7	2.06	1.28	1.98	1.8	2	1.42	2.07
103	2.28	2.44	2.2	2.43	2.29	2.43	2.14	2.46
104	0.42	0.43	0.49	0.49	0.47	0.55	0.54	0.58
105	-0.15	-0.93	0.06	-0.13	-0.17	-0.93	-0.04	-0.26
107	-0.26	-0.93	-0.02	-0.34	-0.35	-0.93	-0.1	-0.16
108	0.02	-0.18	0.19	0.02	0.18	-0.93	0.09	-0.01
109	1.27	1.4	1.22	1.27	1.37	1.29	1.24	1.24
111	0.13	-0.93	-0.22	-0.19	-0.35	-0.13	-0.1	-0.03
112	0.59	0.61	0.78	0.53	0.58	0.65	0.72	0.54
113	0.65	0.7	0.61	0.7	0.62	0.41	0.46	0.63
114	-1.05	-0.93	-0.64	-1.02	-1.09	-0.93	-1.02	-1.02
115	0.49	0.59	0.43	0.64	0.55	0.63	0.48	0.65
116	-1.05	-0.93	-0.21	-1.02	-1.09	-0.93	-1.02	-1.02
117	-0.21	-0.93	-0.06	-0.11	0	-0.93	-0.17	-0.02
118	1.83	1.95	1.85	1.94	1.83	2.06	1.82	1.95
119	-0.07	-0.12	0.05	-0.27	0.07	-0.93	-0.17	-0.09
120	1.04	1.35	0.77	1.38	1.28	1.53	0.96	1.51
123	0.71	0.61	0.73	0.62	0.63	0.59	0.61	0.6
124	-1.05	-0.93	-1.21	-1.02	-0.38	-0.93	-1.02	-1.02
125	-1.05	-0.93	0.24	-1.02	-0.03	-0.93	-0.15	-0.16
126	-1.05	-0.93	-0.6	-1.02	-1.09	-0.93	-1.02	-1.02
127	-0.14	-0.18	0.25	-0.27	-0.22	-0.93	-0.35	-0.06
128	1.94	1.94	1.64	1.98	1.88	1.93	1.64	1.93
130	-1.05	-0.93	-0.04	-0.19	-0.42	-0.04	-0.15	-0.33
131	-1.05	-0.93	-0.64	-1.02	-1.09	-0.93	-1.02	-1.02
132	1.15	1.21	0.88	1.12	1.11	1.24	0.93	1.15
133	0.96	0.61	0.77	0.61	0.79	0.42	0.63	0.53
134	0.33	0.28	0.37	0.25	0.36	0.28	0.45	0.31
135	0.17	0.15	0.15	0.08	0.12	0.27	0.26	0.16
136	1.14	1.16	0.92	1.03	0.92	0.9	0.68	0.85
137	-1.05	-0.93	-1.21	-1.02	-1.09	-0.93	-1.02	-1.02
140	-1.05	-0.93	-1.21	-1.02	-1.09	-0.93	-1.02	-1.02
141	0.15	0.18	0.09	0.18	0.07	0.14	0.18	0.11
142	2.46	2.56	2.31	2.53	2.49	2.6	2.4	2.54
143	1.79	1.86	1.1	1.93	1.74	1.82	1.14	1.94
144	-1.05	-0.18	-0.57	-1.02	-0.47	-0.93	-1.02	-0.33
145	-1.05	-0.93	-1.21	-1.02	-1.09	-0.93	-1.02	-1.02
146	-0.35	-0.93	-0.35	-1.02	-1.09	-0.93	-1.02	-0.33
147	-0.21	-0.93	-1.21	-1.02	-0.42	-0.01	-0.35	-0.26
