gene	GSM2597412	GSM2597413	GSM2597414	GSM2597415	GSM2597416	GSM2597417	GSM2597418	GSM2597419
1	-1.7	-1.27	-1.69	-1.74	-1.75	-1.71	-1.72	-1.72
2	-0.42	-0.95	-1.69	-1.3	-1.2	-1.08	-0.75	-0.99
9	0.41	-0.19	-0.18	-0.03	0.17	-0.13	-0.13	-0.19
10	-1.26	-1.27	-1	-1.12	-1.31	-1.08	-1.72	-1.16
12	1.34	0.36	0.24	1.32	-0.2	-0.04	0.02	-0.21
13	0.45	-0.86	-0.8	-0.59	-0.2	-0.78	-0.87	-1.16
14	1.42	1.46	1.5	1.42	1.38	1.58	1.45	1.53
15	-1.26	-1.73	-1.69	-1.3	-1.75	-1.08	-1.16	-0.99
16	1.29	1.46	1.51	1.43	1.4	1.67	1.52	1.39
18	1.9	-0.25	-0.26	0.89	1.35	-0.33	-0.31	-0.39
19	0.47	1.73	1.51	1.27	0.24	0.58	1.13	0.96
20	-0.06	0.32	0.04	0.13	0.01	0.29	0.46	0.48
21	1.22	0.88	0.67	1.12	1.03	0.62	0.89	0.59
22	0.85	0.67	0.76	0.73	0.53	0.62	0.63	0.65
23	1.11	1.33	1.31	1.3	1.37	1.57	1.54	1.51
24	-0.89	-0.69	-0.71	-0.79	-1.13	-1.08	-1	-1.16
25	0.97	1.22	1.03	1.08	1.32	1.39	1.16	1.28
26	2.15	1.03	0.92	1.71	1.73	1.16	1.2	0.69
27	0.12	0.42	0.46	0.46	0.28	0.57	0.58	0.61
28	0.04	-0.52	-0.57	-0.37	-0.34	-0.66	-0.67	-0.91
29	1.32	1.13	1.07	1.22	1.36	1.25	1.48	1.37
30	0.99	0.62	0.62	0.72	1.13	1.02	0.97	0.95
31	0.96	1.12	1.15	1.15	1.04	1.03	1.1	1.06
32	-0.31	-0.58	-0.65	-0.51	-0.27	-0.32	0.02	-0.38
33	1.61	1.55	1.54	1.51	1.27	1.73	1.71	1.56
34	1.52	0.84	0.83	0.99	1.3	1.29	1.3	1.23
35	1.34	0.85	0.69	0.92	1.31	0.71	0.65	0.59
36	0.74	0.51	0.52	0.45	0.41	0.29	0.3	0.32
37	1.43	0.9	1.03	1.1	1.39	1.24	1.2	1.24
38	1.78	0.88	1.09	1.26	1.55	1.02	0.91	0.95
39	0.88	0.96	1.15	0.96	1.18	1.03	0.96	0.98
40	-0.96	-1.73	-1.05	-1	-1.03	-1.71	-1.72	-1.72
41	-0.45	-0.49	-0.59	-0.53	-0.46	-0.49	-0.56	-0.54
43	-0.44	-0.67	-0.69	-0.59	-0.16	-0.51	-0.47	-0.4
47	2.26	1.94	2.02	2.14	2.21	2.06	1.92	1.84
48	1.39	1.17	1.22	1.32	1.29	1.14	1.14	1
49	-1.7	-1.73	-1.69	-1.74	-1.75	-1.71	-1.72	-1.27
50	2.32	1.94	2.06	2.12	2.23	1.89	1.98	1.86
51	1.84	1.3	1.21	1.45	1.56	1.3	1.51	1.36
52	0.96	1.18	1.27	1.07	0.62	0.97	0.74	0.93
53	0.85	0.78	0.78	0.74	0.64	0.93	0.98	0.99
55	0.86	-0.32	-0.34	0.13	0.24	-0.49	-0.28	-0.3
56	-1.7	-1.73	-1.24	-0.94	-1.13	-1.08	-0.93	-0.85
58	-0.33	-0.51	-0.59	-0.4	-0.57	-0.23	-0.44	-0.38
59	2.73	1.84	1.92	2.32	2.86	1.54	1.35	1.04
60	2.97	3.23	3.14	3.15	3.04	3.09	3.21	3
70	-0.82	-1.15	-0.85	-0.8	-0.84	-0.99	-1	-0.99
71	3.02	3.46	3.38	3.37	2.99	3.26	3.15	3.28
72	2.55	0.61	0.66	1.77	2.89	0.3	-0.04	-0.21
81	2.37	2.49	2.44	2.58	2.39	2.45	2.5	2.46
86	0.59	1.11	1.2	0.92	0.57	0.87	0.78	0.95
87	1.67	1.99	1.92	1.91	1.94	1.87	1.9	1.93
88	-0.87	-0.88	-0.92	-1	-0.68	-0.7	-0.72	-0.71
90	0.22	0.5	0.55	0.46	0.08	0.26	-0.05	0.19
91	1.15	0.73	0.46	0.81	1.23	0.82	0.73	0.77
92	0.55	0.48	0.48	0.48	0.37	0.45	0.27	0.37
93	-0.71	-0.58	-0.59	-0.69	-0.63	-0.59	-0.64	-0.54
94	0.32	0.13	0.12	0.3	0.23	0.18	0.26	0.05
95	0.56	-0.06	0.05	0.17	0.18	0.05	-0.11	0.15
97	-0.27	-0.23	-0.12	-0.29	-0.31	-0.39	-0.48	-0.33
98	-0.26	-0.34	-0.23	-0.35	-0.43	-0.38	-0.52	-0.45
100	-0.32	-0.14	-0.17	-0.16	-0.23	-0.07	-0.27	-0.36
101	-0.42	0.67	0.53	0.29	-0.29	0.08	0.49	0.53
102	1.5	2.13	2.05	1.95	1.52	1.96	1.96	2.14
103	0.7	0.72	0.5	0.7	1.12	1.08	1.39	1.14
104	-0.4	-0.44	-0.44	-0.45	-0.28	-0.6	-0.69	-0.54
105	-0.55	-0.23	-0.16	-0.36	-0.39	-0.36	-0.48	-0.32
107	-0.55	0.13	0.23	0.48	-0.58	-0.46	-0.15	0.08
108	-0.6	-0.95	-0.87	-0.73	-0.84	-0.96	-1.16	-1.09
109	-0.42	-0.07	-0.07	-0.17	-0.41	-0.39	-0.36	-0.39
111	0.33	-0.59	-0.59	-0.26	0.58	-0.47	-0.5	-0.62
112	1.67	1.56	1.21	1.47	2.14	2.05	2.02	2.04
113	0.05	-0.09	-0.22	-0.21	0.26	0.26	0.89	0.32
114	-0.96	1.31	1.25	0.69	-0.36	1.32	0.91	1
115	-0.32	-0.43	-0.46	-0.35	-0.33	-0.35	-0.43	-0.39
116	-0.81	-1.08	-0.92	-1.03	-0.9	-1.26	-0.93	-0.99
117	-0.21	-1.15	-1.12	-0.57	-0.35	-0.81	-1	-0.91
118	1.87	1.75	1.66	1.8	1.87	1.52	1.7	1.57
119	-0.68	-0.58	-0.56	-0.63	-0.71	-1.08	-1.04	-0.82
120	1.36	1.69	1.6	1.5	1.25	1.45	1.51	1.72
123	1.6	1.02	1.01	1.16	1.32	1.09	0.99	1.02
126	2.83	0.47	0.1	1.85	2.69	0.09	0.72	0.19
127	-1.7	-1.73	-1.69	-1.74	-1.75	-1.71	-1.72	-1.72
128	0.99	1.24	1.36	1.17	0.83	1.07	0.91	1.04
131	-0.72	-1.15	-1.12	-0.97	-0.76	-1.15	-1.04	-1.16
132	1.27	0.86	1.07	1	0.8	0.52	0.45	0.51
133	-0.38	-0.3	-0.23	-0.33	-0.36	-0.48	-0.47	-0.51
134	-0.28	-0.47	-0.5	-0.55	-0.47	-0.87	-0.83	-0.79
135	-0.67	-0.57	-0.54	-0.59	-0.69	-0.6	-0.51	-0.57
136	-0.93	-0.64	-0.57	-0.92	-1.03	-0.78	-0.93	-0.96
140	-0.73	-0.75	-0.78	-0.94	-0.63	-0.6	-0.59	-0.66
141	0.43	0.49	0.52	0.52	0.42	0.65	0.5	0.36
142	0.75	1.4	1.23	1.26	0.76	1.13	1.32	1.29
143	0.52	0.28	0.15	0.37	0.73	0.45	0.81	0.65
146	-1.15	-1.73	-1	-1.3	-1.75	-1.15	-1.72	-1.27
147	-1.08	-0.75	-0.9	-0.89	-0.94	-0.96	-1.04	-1.09
148	-1.08	-1.27	-1.69	-1.74	-1.07	-1.15	-1.16	-1.27
150	-0.23	-0.2	-0.44	-0.45	-0.46	-0.73	-0.63	-0.45
151	-0.91	-1.02	-1.05	-1.19	-0.92	-0.99	-0.89	-1.16
152	-0.89	-1.27	-1.69	-1.12	-1.2	-1.26	-1.27	-1.27
153	-0.75	-0.98	-1.12	-0.8	-0.79	-1.71	-0.97	-1.09
154	-0.43	-0.51	-0.45	-0.49	-0.35	-0.2	-0.31	-0.35
155	-0.62	-1.02	-1.69	-1.03	-0.48	-1.71	-0.97	-1.04
158	0.56	0.67	0.77	0.61	0.49	0.54	0.53	0.57
159	1.15	1.35	1.44	1.29	0.96	1.28	1.24	1.31
160	0.64	0.92	0.84	0.96	0.87	1.1	0.96	1.05
161	0.86	0.79	0.85	1.04	0.87	0.87	0.95	0.96
162	1.33	1.07	1	1.25	1.42	1.15	1.3	1.12
164	1.51	1.51	1.54	1.52	1.38	1.48	1.49	1.33
165	0.54	0.43	0.49	0.53	0.08	0.3	0.34	0.1
166	2.08	1.95	1.92	1.94	2.15	1.98	1.87	2
167	-1.7	-1.73	-1.69	-1.74	-1.75	-1.71	-1.72	-1.72
173	-0.74	-0.67	-0.92	-0.84	-0.78	-0.87	-0.65	-0.82
174	-1.7	-0.56	-0.63	-0.67	-0.87	-0.6	-0.41	-0.65
175	0.38	0.16	0.3	0.24	0.19	0.14	0.1	0.04
177	-0.84	-0.7	-0.76	-0.84	-0.66	-0.42	-0.49	-0.54
178	0.69	0.04	0.04	0.24	0.61	0.15	0.15	0.14
181	-1.03	-1.02	-1.24	-0.97	-1.07	-1.03	-1	-0.99
182	0.02	0	0.02	0.01	0.2	0.16	0.1	0.12
183	0.12	-0.33	0.04	-0.01	-0.25	-0.07	-0.39	-0.44
185	-0.53	-0.86	-0.7	-0.79	-0.52	-0.9	-0.97	-1.04
